4.0,,"January 2, 2019",No,None,0
4.0,"Pretty much as expected. Positive experience so far.
  
","January 2, 2019",Yes,"This review is for the phone, but considering how it was bought from this Amazon seller.I was a bit weary to buy, given the varying reviews. It arrived in a white, unmarked box as expected as a renewed/refurbished product. Came with an offbrand charger, but no headphones.The description said, by definition, it would have minimal to no scratches. There is one 3/8” to 1/2” scratch near the front camera on the screen that goes into the functional screen area. It’s not terrible, but I would consider it a little more severe than minimal.Battery health was said to be about 80% if I remember correctly. Battery health as received was 96%, which I was happy about.Everything else, a few days in, seem to be on par with a new phone. I will update this review with any shortfalls or unanticipted failures going forward.",329
1.0,"Not refurbished!
  
","January 9, 2019",Yes,"Super disappointed when I got this phone. I rarely leave reviews but when I opened this phone I was aggravated. Screen has scratches and the outside edges of the phone are dirty. This is clearly not a refurbished phone, so it should not be advertised as such. Now I have to wait for another one which is even more aggravating!",241
2.0,"Disappointed
  
","May 16, 2019",Yes,"Comes with very visible scratches at the front and the sides. As much as I hate to write a negative review, but I had no choice. Had ordered this for my brother on his birthday expecting it to at least have some minor scratches, but got to see it is full of scratches on the front and sides, I've bought renewed phones before but never faced a situation like this. Very dissatisfied.",151
1.0,"Cracked and does not turn on.
  
","November 7, 2018",Yes,The screen was cracked and the phone did not turn in after 24 hours of charging.,130
1.0,"Not a Refurbished Iphone
  
","November 26, 2018",Yes,"It is not a Refurbished iphone, it is activated",128
1.0,"Possibility to change the phone?
  
","April 20, 2019",Yes,I bought this phone and this is my first picture with the back camera and also when Im tapping look like multitouch. There is any possibility to change the phone?,106
5.0,"So your’re not sure? Be sure. Here’s why.
  
","February 14, 2019",Yes,"This IPhone X has been phenomenal. The speed at which it operates is Incredible. If you are questioning this buy, don’t. It’s a wonderful deal. I’ve not had one issue thus far, and will most certainly update this review if I have one within the warranty period. I recommend getting a tempered glass screen and a good case—this phone is glass front and back.",108
1.0,"Don't buy from this seller.
  
","January 8, 2019",Yes,"This product is falsely labeled as unlocked, it's been 4 weeks since I informed that the phone was still locked and all I get are excuses.Plus, the phone came in a really bad condition, so many scratches you can see them very clearly.",103
5.0,"Very satisfied!
  
","February 5, 2019",Yes,"My iPhone X was delivered in what I believe to be near perfect condition. Very light scratch on the face of the screen, however it disappeared after installing a tempered glass screen protector. Powered on just fine and is fully compatible with my at&amp;t SIM card. The iPhone came with 89% of it’s original factory battery health which is more than advertised for this refurbished product (battery health can be found in settings). With the iPhone X I also received both an apple brand power cable and wall adapter (I got lucky). My apple AirPods and apple watch (both sold separately) paired to this devise without any issues.Overall: I received my product exactly as advertised which makes me very satisfied. Other reviewers complain about things outside of the sellers control such as the lack of a headphone jack and the new gesture controls used in place of the retired “home button”. The learning curve felt easy and natural. Potential buyers should look into the features of the phone before buying this product new OR refurbished. 5/5 stars highly recommended.",90
4.0,"Overall phone review
  
","January 10, 2019",Yes,"This is a refurbished iPhone X. The box is from Verizon company that comes with only the charger and the phone. Doesn’t have a pin to eject the SIM card nor earphones. The screen is a bit scratched but that’s to be expected since it’s refurbished. The box also said that it’s a pre owned. So the assumption is that someone turned in the phone for an upgrade. The battery health is at 99%. Today is the first day I’m using it so don’t really know how long the battery will last me. I ordered a screen protector so maybe that’ll blocker the scratch a bit. We shall see. Overall, it’s a cheap iPhone X with 256 GB. I have T-Mobile and the SIM card works. Not a bad deal at all.",73
4.0,,"January 2, 2019",No,None,0
5.0,"Exceeded Expectations
  
","December 12, 2018",Yes,I loved how new this phone looks and works. Everything works and the battery life was at 94% which is very good. I am very glad with this purchase and definitely recommend buying from them. Very skeptical before buying but now having the product it is definitely worth a buy if you are looking for a good phone.,66
