4.0,,"October 30, 2019",No,None,0
3.0,"Pixel4 - On The Fence With This One - Google Has Cut One too Many Corners Here
  
","October 24, 2019",Yes,"Have been using Android over 10 years and carrying Pixels the last 4 years. Love stock Android. I don't usually buy phones at launch, but I caved this year. Don't care about the camera, but if this is important for you, look no further. Like it's predecessors, this phone takes nice photos. Cool design, premium feel, and a modestly updated feature set. Android is still Android after all. The phone does feel good in your hand. Screen is very nice and the 90hz refresh is noticeably smooth. If you've been reading reviews, you've probably read all this elsewhere.I do want to like this phone and am going to give it a chance, but I'm going to be merciless if the device doesn't stand up to reasonable everyday use. What do I mean by this? We bought two phones but I've only opened one of them to evaluate. Set up was easy. Connect your devices and less than 10 min later, everything was transferred. Apps installed, then they updated. Ready for testing. WiFi and Bluetooth connection were fast and solid.One thing I was quite impressed with was the sound. After using earlier pixels with front firing speakers I was a little worried. Nothing to worry about here. Sound quality is very good (full and rich), and the gesture navigation skip forward and back worked for me as well, boom!  4K videos looked good and so did ones shot in 1080p.Face unlock. This was another ""on the fence"" item for me. Cool feature and it works, but now they have it all. Our fingerprints from the last generation of phones can now be linked with our faces. Works perfectly in pitch black darkness.  Infrared wins.I still have the same (major) concerns as others. The 2800mah battery is tiny. I am extremely skeptical here, but hope I can be proven wrong. No unlimited original res photo storage. I know Google is in business to make money, but what a chump thing to do. It's right up there with them not including a headphone adapter or headphones this time around. So this is the price you pay or accessories you forego to have the latest tech. I believe this could have been done better or differently. It's a flagship phone, or at least that's what Google is calling it. Congrats Google, you've cut just about every corner you possibly could with this device.What's next. Let's see how the device performs in real day-to-day usage. In the car, in a pocket with Bluetooth and the normal stuff we all do with our devices. The TINY subpar battery had better be good. Otherwise 2 of these phones are coming right back to you.My suggestion, if you didn't jump on the launch deal is WAIT. The phone is nice, but the potential for disappointment is there. Black Friday and Christmas are just around the corner too.***Update Daily useCall and audio quality is good, using a BT headset also good. Streaming music to the cars audio system working well. Android 10 has a few quirks, but is working and very stable.  I haven't had any performance issues with the device or its OS.  Although I had WiFi calling on my 3XL (AT&amp;T) , it will not activate on this device. May I have to call them to see why.***Update after 3 weeks of ownershipWhile I am fully sold on the Face Unlock feature, I still miss the finger print reader.  Its just something you become used to after years of pixel ownership.  I've only caught myself trying to unlock the phone about 3 times with my finger.  I set up face unlock without glasses, but it works when I put on reading glasses, and also while wearing sun glasses (that one is amazing).  One thing people and (google) haven't thought of.  Currently, Face Unlock works even your eyes are closed.  Google has said they are going to release an update that addresses this.  Ok, so what happens when I'm wearing sunglasses?Trusted Devices or Places will probably address this.  My phone stays unlocked in the car and at home or work.  But if you are outside walking around and wearing sun glasses, you might have to PIN into the device or lift your sunglasses.  This is still an unknown I guess.I called AT&amp;T and we determined the IMEI of the phone was not ""whitelisted"" on their network.  Hence the reason why I couldn't activate Wi-Fi calling.  It took them 3 days, but they re-provisioned the SIM (remotely) and added the ID.  Wi-Fi Calling works now.  If you have this problem with a new phone (any brand) that is compatible with voLTE and Wi-Fi calling, but was not purchased through your carrier (subsidy) there is always a possibility that the phone will not be ""whitelisted"".  You have to call customer care and be really nice.  I got lucky the first time I called, sometimes it takes more than one call.  The second device (other P4) which is also with AT&amp;T (but a different plan) will not allow Wi-Fi to be activated either, so this means another call to the carrier.  Hand off between Cellular and Wi-Fi or vice versa works 98% of the time.  I've had a few dropped calls say when I'm walking into work or the house and the phone transitions from Cellular to Wi-Fi.  Mostly however, it works and is stable.  For those who have had Google Fi, you'll know exactly what I am talking about.  Wi-Fi calling capable devices attempt to switch aggressively whenever they can move voice calls to Wi-Fi.The new Google Assistant is very good.  The AI they have built into the core of the OS is impressive.  Not needing a cellular or Wi-Fi connection to use it makes it extremely fast.  For me, this is probably the most notable upgrade from a Android/hardware perspective.BIGGEST concern &gt;&gt; the 2800mah battery.  Remarkably, the phone lasts all day and well into the next morning without being charged.  I had concerns about going to sleep with a low battery and having the phone die during the night and then no alarm in the morning.  Well, it hasn't been a problem.  I typically have 17-30% percent remaining in the morning and can easily throw the phone on charge before leaving the house.  I have the ""always on"" display turned on, and allow all notifications to display on my lock screen.  I have gesture navigation enabled which keeps the soli radar chip active and looking for gestures above the device when its stationary.  I stream videos and play music over Bluetooth in the car.  I also use navigation when walking frequently.  Normal use and the battery has held up well.  This is really a matter of personal preference and your usage.  Initial reviews said 3-4 hrs of screen time should be expected.  I'm getting 5-6hrs.  If you are on your phone for hours a day, or play games, get the XL.In closing, I have found myself &gt;&gt;inconvenienced&lt;&lt; more than once since the phone did not come with a USB-C to 3.5mm headphone adapter.  I have headphones, but have been left to work one handed because I don't have my BT headset with me.  Google &gt; BIGGEST CHUMP MOVE EVER.  Really pissed me off.  I've ordered one.  Tired of the inconvenience.With that said, my original recommendation stands.  If you cannot buy the P4 or XL at a serious discount, WAIT.  It is not worth the full retail price, regardless of the new ""features"".  Its over priced for what you get, and Google has cut way too many corners seriously detracting from the value you receive vs. cost of the device at full price.  Still 64GB of storage, small 2800mah battery, no adapters, no headphones, no unlimited full res photo storage..  Other people have said this too.  Google has had several chances to build and release good devices.  They just can't get it right.  You pay for a flagship and there is always a compromise.  In the case of the P4, its one after another.***Final Update 6 weeks of ownership.I am enjoying the phone and it's working as I intended.  I had Android 10 on my 3XL so no surprises there.  As usual Google continues to improve and refine it's OS.  Everything just works.  This is why I buy Pixels.While I like the phone, this years Pixels did not wow me like those of previous years.  It's a phone, it's running the latest version of Android but that's about it.The new AI built into the Google Assistant remains the most noteable ""feature"" from an upgrade perspective for me. But like before, that's it.  The premium price tag is just disproportional to the value you are receiving.I am a fan of Android, but this year Apple and OnePlus nailed it from a hardware perspective.  Cost to value ratio.  They came through where you (Google) failed. The P4 isn't even 2 months old and most carriers are practically giving them away.  Not to mention Google has substantially increased trade in values for older devices to entice new buyers.Which leads me to ask..  Google are you giving up on Pixel?  Does this mean Samsung and OnePlus devices for everyone next year.  Man you guys got some black eyes this year.  All avoidable too.I can say this.  Nice phone, but I won't buy your device at launch next year.  Everyone, I urge you to heed these words.  Do not pay full price for this device.  I'm not saying don't buy it, but don't buy it at full price.",492
1.0,"Save your money.
  
","November 6, 2019",Yes,"The phone is flimsy, under-engineered and not worth the high cost. There are no longer any deals regarding Google cloud storage. Google is only offering three years support for this phone, then they pull the plug. The battery life is a joke. The operating system needs fixes to be secure, especially critical face recognition. I can not imagine why anyone would spend so much for so little. I returned the two that I originally ordered.",135
3.0,"After 3 days... This is going back
  
","October 26, 2019",No,"Very poor battery life- expect about half a work day with moderate usage.  Love the gestures feature, super loud speakers, and great camera, but the pixel 4 is just too wimpy. Also surprised at how small it is, since the screen is ""bigger"" than my last phone. The 16:9 aspect ratio makes the phone significantly narrower, which is a big issue for keyboard use when typing anything and holding the phone vertical. Going to try the 4xl and see how that works.",76
4.0,"Pixel 4 XL vs Samsung Note 10?
  
","October 30, 2019",No,"So I was lucky enough to use both phones for a while and here are my thoughts :Display:The thing you use the most really on any phone now is the screen, the note 10 has an amazing screen &amp; I never expected any phone to have better screen to look at. Well, the Google Pixel did just that! I dunno if it's the cleaner software or what, but the Pixel's screen does feel a little nicer.Camera:While the Pixel should have been the clear winner here, it really isn't! Yes, the front selfie camera, at night or indoor is definitely better, but honestly it feels worse than last year's Pixel 3 for some reason. The selfies feel a little fake, and the camera angles are weird. The back camera however isn't much better than the Note, in fact I find myself missing the wide angle camera that I had on my Note, a lot!On a side note, my wife's iPhone 11 pro back camera also feels a little better than the Pixel's, which is also unexpectedHalf star off really, not for a bad camera, but for the disappointment, it's just not as good as expected.Software:No need to bother comparing here, the Google software is much better, cleaner, smoother &amp; more productive than that of Samsung, hands down the Pixel OS wins here.Battery:Not that much of a difference, the Note 10 does tend to last longer. Both aren't that great though but the Note will give you, may be, a couple more extra hours, which is appreciated really!Design:The Note 10 is beautiful! Very slick, all screen display, nice curvy sides, while the pixel does look good overall, specially the back, but the front design is ugly, and I don't care if they have a radar on the front, it really doesn't seem to be that much more functional and I would rather have the fingerprint scanner with an all edge to edge display, thinner phone, than the secure face ID with a big top hinge. Another half star off for a lazy design.The face ID itself is worth mentioning, it's surprisingly accurate and fast, but so many apps don't support it yet and having to enter passwords for banks &amp; stuff seems like something that we had left behind, but with the lack of fingerprint and the lack of face id support on so many Android app, there really are no other options, try not to forget those passwords, you'll be in trouble!Overall, I think I'll be keeping my Pixel for a little while longer but I can't say I'm fully happy with it really.",69
1.0,"Waste of money
  
","October 22, 2019",Yes,Just avoid the black phone. It is fingerprint magnet. Screen quality of the phone is not good. My pixel XL or pixel 2 XL is far far better. I am Google fan. So bought the phone on 1st day. Now I have to continue with the phone for next 1 year untill they release Pixel 5 XL. Only improvement is camera quality. I am not sure why YouTube reviewers are saying that screen quality is good or Phone is good. I don't see any reason to buy this phone.,39
1.0,"Switching to OnePlus from my pixel 2.
  
","October 28, 2019",No,"Luv camera bot others caught up with Google. Terrible battery life, low storage just 64 for $800 and no more unlimited cloud backup for your pics and videos on original quality.",56
1.0,"At $399 this phone would still be overpriced
  
","December 3, 2019",Yes,"I had been waiting for this phone ever since details were leaked just before summer. Then the specs were leaked - 6gb OK fair enough. 90hz screen fantastic. 2 camera lenses ok maybe. Snapdragon 855 instead of 855 plus bit disappointing but not enough to stop the purchase.Then they release the pricing - same ballpark as the iphone. OK sure it's a google phone, probably has the same quality as the iphone right?No, wrong. It feels cheap compared to an iphone, it looks cheap compared to an iphone. The ridiculous uncentered screen is dim compared to an iphone. Honestly this phone looks like a 2017 model year phone, not 2019. But then again it's made by HTC which should tell you everything you need to know right there.The spec is a joke, 64gb storage, no free google photo uploads - they are trying to be apple without providing the excellent hardware.Android 10 is great but STILL it has stuttering scrolling even with a 90hz screen. Anyone who says different is kidding themselves, IOS scrolls liquid smooth without resorting to a 90hz refresh rate.The whole radar chip gesture navigation is a total gimmick waste of hardware and resources and screen real estate. No one is going to use it in its current iteration.Android 10 telephony support is inferior to IOS - you can make whatsapp calls from favorites in IOS dialer - not an option in Android 10.Android 10 updates SUCK, even with pixel, the company phone you are only guaranteed 3 years of updates while apple gives you 5.It's SO OVERPRICED I cannot believe google have the cheek to sell this phone at this price bracket. No edge to edge screen, awful battery life, paltry storage.Do yourself a favour and skip the pixel 4.",24
5.0,"5 stars, but the jury is still out
  
","November 27, 2019",Yes,"So far after just a week I am going to stay with 5 stars.  If that changes I will update the review.  Its not perfect, but overall the good outweighs the bad.  So here are my notes.Its the only Android I would consider because of security and Google updates.  I would only ever buy an unlocked Apple or a Google phone - where the software vendor pushes the updates every month.  Otherwise I'm not interested.  If you buy another Android phone good luck getting major OS upgrades or even security patches.First, all the nitpicks about battery life: Yeah, its a small phone.  Its not like Google put in a small battery just to mess with you.  So far, it seems about the same as my Pixel 3 to me: just ok.  Unless you work mostly in the wilderness its not really an issue just top off during the day occasionally. (I hike a lot in the wilderness, and I carry a battery pack for those times).  So if you need guaranteed all day battery life buy the XL.OK that aside, its a bit faster than my Pixel 3.  I noticed one web page in particular that is grossly javascript heavy would load very slowly on my pixel 3 and is much faster on my 4.I’m not a huge fan of the face unlock so far.  The old fingerprint reader worked better for me most of the time – you could unlock it as you picked it up.  Now I have to wait till I look at it.  But I got over that.  Its not bad either, and occasionally its better – Lastpass for example, unlocks itself.And heh, lets get real about the flaw that you can have your eyes closed.  They plan to fix this, and its really not much less secure than a fingerprint as is.  If you are sleeping or dead either one can be bypassed,.The size if just right I don’t want a giant phone.Likewise gestures took a bit of practice.  I hate Iphones because of the no back button problem; now I don’t have one either.  There is a swipe gesture instead, but its a little slower and less reliable than the old way.  Still, I am resisting the temptation to enable the back button so far.The dual sim capability is amazing!  I keep a Google Fi eSim onboard with Visible (Verizon MVNO) as my main carrier.  The Pixel 4 does a dramatically better job of managing dual sims and either number rings now.Most of all I appreciate the Google commitment to privacy and security.  (I could care less how many times they market my web history to advertisers, it doesn’t compromise my security.)I am disappointed I no longer get free full resolution camera uploads but can live with the free high resolution.And really, no earbuds included?  Although I am very happy not to have the antiquated headphone jack and I have the google earbuds leftover from previous pixels which are great.I appreciate Amazon having the black Friday sale price of $599 and an extended return period in case it dies!So this phone is a keeper for me.  I’ve had almost every Google phone ever made going back to day 1, and they just get a bit better with each iteration.",23
5.0,"Excellent phone overall, great user expirience,  a little dissapointing in some areas of the phone.
  
","November 17, 2019",Yes,"Great screen, love the 90hz refresh rate.Camera is astounding, Night Sight is great, Astrophoto is excellent.Face unlock is quick, but wish there was also a fingerprint sensor for added security.64gb is enough for me as I have Google 1 subscription so I don't really have problem with storage for photos, for $20 the 100gb a year is better than forking out additional $100 for an extra 64GB worth of storage in my opinion.Wish the battery could have been a little bit bigger, but overall expirience is great as expected from a pixel phone silky smooth UI and great software optimization.I came from a Pixel 2 moving to Pixel 4 XL, I also own a LG V50.There's a certain pixel expirience that you don't get on other android smartphone that makes me comeback to pixel despite its negative criticism it recieves from other reviewers, you can give it a shot probably buy when it has discounts over its price.",17
