5.0,,"February 26, 2018",No,None,0
3.0,"Not the best for wall-mounting, giant ""wall wart"" power cord
  
","June 25, 2018",Yes,"Picture quality is good, even from the sides.  Sound is not bad for a small TV.  I would not buy it again because of 2 things, which may or may not be important to you: 1) The coax and HDMI inputs face directly backwards and are not recessed.  No big deal if you use the stand, but if you wall-mount this TV the inputs are useless unless you buy L-shaped adapters.  And 2) it has a giant ""wall wart"" power supply instead of a regular power cord.  Way too big to hide/conceal behind a wall-mount bracket.7/10/2018 - Discovered another negative in addition to all the above.  The USB port will not power an external device like a Chromecast or an active antenna.  Kind of annoying.  And did I mention the wall wart power supply?  It's absurdly huge for such a small tv.",175
5.0,"so I guess everything is fine.
  
","February 26, 2018",Yes,"This TV was for my wife's sewing room. After I set it up and got it to running I was let go. There have been no screams for me to return, so I guess everything is fine.",195
5.0,"Sound is just fine.  Picture is excellent.  Glad to be have found a small enough TV of high quality.
  
","February 23, 2018",Yes,"Picture:  As sharp and clear as you're going to get with an LED 1080p TV, which is excellent.Sound:  I'm 64 and actually have diminished hearing in my right ear.  We have this TV in a 10' X 14' kitchen.  The sound at less than half volume is absolutely fine throughout the room.  Raising the volume to max makes it uncomfortably loud.  Those who have complained about the sound need to see an Ear, Nose, and Throat doc ASAP.(This TV gets its signal from a cable connection.)",177
5.0,"Not bad at all
  
","January 16, 2018",Yes,"This is a pretty nice little television for the kitchen.  Many reviews mention disappointment in the speakers/sound quality.  I find that the sound is satisfactory in my kitchen.  This tv has no provision for auxiliary speakers and has only one HDMI and one coax input.  But then again, I didn't buy this to be part of a entertainment center, I bought it to glance at the news while cooking dinner.",137
4.0,"picture is sharp and sound is good for this size TV
  
","August 27, 2017",Yes,"Overall, picture is sharp and sound is good for this size TV.  It fits nicely on the kitchen counter where we needed a small TV.",86
5.0,"This TV is a great size for a bedroom or kitchen
  
","February 21, 2017",Yes,"The sellers promptly answered a question I asked regarding this TV's dimesions, and it arrived exactly on time.  This TV is a great size for a bedroom or kitchen.  It was easy to set up and has a great  picture.  We're very satisfied.",148
5.0,"Happy With Our Purchase
  
","February 5, 2018",Yes,"We have good luck with LG products in the past, so we bought this set from Amazon.  It has a great picture and decent sound.The setup instructions were poor and confusing.  Our cable company tech solved the minor issue which involved seeing the picture.It's all good now.",55
5.0,"1080 in a 22inch.  about time
  
","July 20, 2017",Yes,great fit in the semi. now good stuff. hard to find a 1080 in a smaller screen. display is outstanding and the great lg quality. no tools needed to put stand on and also very sturdy.  sound was week at intial settings but greatly improved after two different settings. very pleased.,137
4.0,"Great Little TV
  
","August 27, 2018",Yes,"I wanted a small TV for my room.  LG has the name brand quality and it was cheap so I gave it a go.  With various setting, I found the picture quality that I like and I read some people complaining about the sound, but it is loud enough for me to hear without even raising it 1/2 way.  There are some sound mode you can fiddle with for clearer voice.Just couple things to point outSo I've been told that this comes with USB.  I found out that the USB is written SERVICE, so I'm guessing it's only for repair and will not power my Chromecast.  Just a minor inconvenience of Chromecast not turning off when TV powers off.There is a red light on bottom center when the TV is off.  It doesn't bother me when I sleep but it may for some people.  And I don't like it when electronic waste electricity for no reason like this.It is small, but very light.  I was contemplating getting this or 28"" (about $30 difference)  If you have the room, get 28"".  I do have the room and should've got 28"".The default picture setting is too sharp.  I found that using movie picture setting made softer and easier on my eyes.Maybe due to both coming from Korea, menu looked some what similar to Samsung TVs I have and was easy to navigate through settings.I am satisfied with this initial purchase.  LG is very good, reliable brand.  I will make updated review once I use it for a period.",18
3.0,"Meh.
  
","May 1, 2018",Yes,"You never know what you're going to get with these cheap monitors. It works and looks fine but it comes with an audio assistant that tells you what button you just pressed on the remote and it took 2 days to figure out how to shut her up. It also makes an annoying T Mobile kinda sound when you power up or off. CAVEAT: no audio output, not even a headphone jack. You have to listen to those tinny little onboard speakers instead of the nice stereo you just put in your shop, and that ruins your Youtube playlist. More product detail on the page WOULD BE REAL NICE.I'll keep it and use it somewhere but I'll still be looking for the one I need in the shop.",20
5.0,,"February 26, 2018",No,None,0
1.0,"This TV is only worth $50
  
","September 6, 2018",Yes,"I bought this TV, to replace an older one that I owned. And, as someone who creates gaming videos for youtube - I was under the assumption that this TV would be a good buy, due to the review stars it has. And, while yes - it does get an okay image. The fact of the matter is that it's lacking everywhere else.The power cable is unimaginably, and short something I would have expected to see hooking up to a kitchen toaster. Reaching less maybe around three feet at most. Causing me to have to buy a three pronged extension cord, just to plug it into the nearest power outlet.The audio jack doesn't work, at all. As it turns out that the jack isn't connected to any internal part of the TV. So, you can't hook any speakers or headphones up to it, despite the jack being there.It only has one HDMI slot. So, you better get used to switching cords around constantly - if you're planning on using this TV for more than one item.In the end, don't buy this TV. You could buy better computer monitors than this, that would be cheaper on your wallet.",19
5.0,"Nice TV at a Bargain Price
  
","April 8, 2017",Yes,"This 28"" LG is an exceptional smaller-sized LED flat screen TV.  It has a remarkably sharp picture with very natural color and many options for customizing the picture and sound.  It's a good choice for placing in an entertainment center in a small room, which is how we're using ours.  The only drawback I've found is that this particular model has only one HDMI port for connecting accessories.  I had to buy an HDMI adapter unit with additional ports in order to hook-up both the HD TV cable and a DVD/Blu-Ray player.  Other than that, the TV is great and was a real bargain for the $179.00 asking price.",67
5.0,"GEART COUNTER TOP TV BARGAIN
  
","January 20, 2018",Yes,"WOW...for a small counter top type TV  the picture is excellent (1080i). And for the reviewers who said the sound is deficient I have one thing to say.....get your ears examined. While the sound is not concert hall quality it is crisp and not at all muffled or garbled unlike some other small TV's I have experienced. Set up was easy following the on screen instructions and a simple call to my cable company ""synced"" the TV to my cable box and viola, up and running in less that 10 minutes. You will not be disappointed if you purchase this TV.",26
5.0,"DON'T BE FOOLED - This Is a Competent Choice !!!
  
","June 20, 2019",Yes,"I don't really understand the complaints. I bought this when the price was $115 and I see that the price is now $137.  Sure it's bare bones but still the best choice in a 22 inch. Those that need more bells and whistles should opt for the 24 inch smart TV version for just $122.This TV sits in my kitchen and is hooked up to a NoCable30 antenna sold here for $21.99 and is outstanding. The TV has a tuner that locked in 61 channels which include all local broadcasts. That's way more channels than I need in my kitchen and very impressive.What you will get out of this TV is an outstanding picture, great color and excellent audio up to the max setting. It is plenty loud well below the max. It has all the usual picture and sound settings you would expect and is easy to program. In fact, I never needed to look at the user guide.For me, I just wanted a respected brand that knows how to deliver outstanding performance in a small basic TV for use in my kitchen. This set definitely checked all the boxes.Remember you are getting 1080p detail which while not an expected or necessary upgrade does indeed provide notably sharper detail and an IPS screen which is the most expensive and desirable material for viewing.I hesitated doing this review because of the rather dramatic increase in price but given the issues that are reported with the few other available 22 inch TV brand choices, sharing my experience made sense and the price may come down again.Update :  Just noticed the price drop to $99.99.  Think of what you are getting for a crazy low price. That's $15 less than I paid recently and $37 less than the evn more recent price I noted above. A basic TV but you get LG quality, 1080p sharpness, and IPS screen.  Great picture performance at moderate vision angles to this TV is a huge positive. For me , the perfect kitchen TV. NOW A STEAL in my view.",7
1.0,"Careful if you use Roku stick
  
","January 29, 2019",Yes,"The TV was nice for the money.  After a few simple adjustments to match my tastes, I thought the picture quality was good.  Then I plugged in my Roku stick.  Well that worked fine too, except for one thing....on my old set the Roku remote could also be used to turn on/off the TV and to adjust volume.  But this would NOT work with this TV.  I then found another post that explained why.  There are different types of HDMI  (internally.  The ""plug"" is the same).  Something called CEC is not available on this low level LG model.  So the TV can not accept the pairing to the Roku Remote.  I returned the TV.  It is 2019.  Why would I want to sit around and use one remote to open apps, cable, etc., while having to use another to power on /off and for volume adjustments.  Especially when I did NOT have to do that on my old 19 inch Sharp from 2007.",9
1.0,"This one was a lemon!
  
","July 13, 2018",Yes,Even with the assistance of LG customer support the TV would not function. Since this occurred upon receipt of the item I opted to return it to Amazon rather than to have it repaired.  Amazon rep was excellent with their response. I received a return label from Amazon and credit to my acct. almost immediately. A lot of time wasted waiting for an item that wouldn't work.,11
1.0,"I had better luck with the cheapie brands!
  
","August 8, 2018",Yes,"3 months and now the only way I can watch cable provided TV is through the coax - which has a lower quality picture that via the HDMI port.  The HDMI port no longer works.  I determined it needs a new main board.  This reason alone I will probably never buy a LG TV again.  I have 2 other similar size cheap brand TV's that are still working perfect after 4-5 years.  I'm sure I can buy a board for 35 bucks, but what an inconvenience.",10
4.0,"Excellent Small TV w/ Great Sound, Good Picture
  
","August 19, 2019",Yes,"I wanted a TV that I could mount on my office wall next to my 27"" 5K iMac.  It needed decent speakers that could carry a TV show or a movie.  This is not a Smart TV, so the normally outstanding LG smart apps Netflix/Amazon/etc, just aren't here - so I used my AppleTV and it all works great.  It could probably stand to be a bit brighter, but it's just not an OLED like my main TV, so I'm spoiled in that area.  The sound is pretty good, I switched over to the Cinema mode for audio and I've been happy with the slightly more robust sound.  There isn't much bass, but again, it's a small 22"" TV so I can't really complain.  Overall, on day one, I'm really happy with it.  Kinda wish the HDMI cable had been on the side and not near where the TV mount bracket goes, but I might be using a slightly larger than average bracket for a smaller TV - but it covered the HDMI socket so I had to shift it over one set of screws so now it's technically mounted by only two screws.  Still all works fine, but a small nitpick.",5
