5.0,,"August 25, 2019",No,None,0
5.0,"One of the few phones worth it's crazy price
  
","August 25, 2019",No,"SMARTPHONE INTROI've been buying the latest and greats smartphones since the early HTC days and have owned just about every significant Samsung smartphone release since then. Every year I will stray over to other manufacturers to see what the big and small players are up to. Most, but not all of the time, I find myself right back to my Samsung phone as the daily driver. Which is usually a Note. Now that Samsung has released another Note series for an increasingly high price, let's see how it does. In particular against my Note 9 that it's replacing.PROS:+ Excellent build quality+ The high-resolution OLED display somehow looks even better than before+ Superfast performance; zero lag+ Much improved speakers that you can *feel*+ The bezels continue to disappear; nearly all-screen+ Core functions, such as phone calls, still work great+ Lots of internal storage + expandable storage+ Generous battery that truely lasts all-day+ Fast wired and wireless charging for those very heavy phone usage days+ The ever-useful stylus continues to evolve+ 3 Camera Lenses for any scenario+ Great picture &amp; video quality with some useful featuresCONS:- Hole punch camera is distracting- The in-screen fingerprint reader takes a few steps back from the physical sensor- RIP headphone jack- Price keeps going upDESIGNCompared to the Galaxy Note 9, the Galaxy Note 10+ feels much more substantial than I expected. It has more heft and somehow even more solid feel to it. In particular with the Samsung OEM cases. Which are also expensive, but continue the high-quality impression of what you are holding in the hand.The left side has the volume up/down and power button. The bottom is USB-C port and stylus holder. The rest of the phone is fairly clean and simple. I prefer power on the right, but it's easy enough to get used to after a few hours. I opted for the white version to mix things up and I like it. It still provides a nice high-end look all while resisting visible fingerprints (and probably scratches) than most darker and shinier colors.Even with a 6.8"" display, it's still roughly the same size as the Note 9. There is now simply less bezel. But due to the squared corners, it never feels small. If you aren't already used to large phones, this will take some getting used to. And as manufacturers continue to slowly push the size of phones combined with no more bezels to shrink, this is probably about as large as I expect a mainstream phone to go. Any further and folks are going to have issues.SOFTWARELong ago this used to be Samsung's weakest point. They'd throw lots of half-baked features with no optimization, resulting in lots of lag and bloat. Those days are long gone. Samsung nailed that down with the Galaxy S9/Note 9 series. Except with the Note 10, it's even faster, and smoother. Which I suspect much credit goes toward the Snapdragon 855.I should note that I am a fan of Google's Android Experience. But every time I jump over to a Google phone (or another brand), I immediately start to miss all of the small but very useful features Samsung has built into their phone. The game launcher, scene optimizer, multiple lenses, display quality, high-end specs, etc.And honestly, after easily disabling Bixby, there isn't that much bloat. Disable/Remove a few random apps like Facebook and I'm good to go.PERFORMANCEAs noted above, the performance is absolutely fantastic. Usually while going through initial setup or installing apps, these phones tend to get very laggy. This was probably the only time I saw a hint of lag, but surprisingly minimal. In that, I could easily and quickly perform other tasks while downloading and installing apps, games, music, etc.Each year as performance increases, the need for synthetic benchmarks decrease. I think they still serve a purpose in limited use-cases for a ""reliable"" baseline. But today, I'm not going to bother. This phone is fast and can do everything you want.DISPLAY &amp; AUDIOThe 6.8"" WQHD+ Dynamic AMOLED display combined with some significantly improved speakers are simply the best upgrades from previous phones. Watching high-resolution content on YouTube or Netflix look and sound fantastic. I found myself glued to the screen during my demo session with various clips.Even the icons on the desktop almost pop from the screen. As though they are right there touching your fingers.The speakers finally have some force behind them as well. Allowing you to ""feel"" the vibrations in your hand. And yes, they are quite loud. With Atmos-enabled they provide a great stereo separation effect.I'll also mention there is an included screen protected. It's very thin but it's quite unobtrusive. I usually remove these. But since it virtually covers the entire screen and provides a smooth swiping experience, I'll leave it for now.And last I'll briefly mention the hole punch as it does have a negative impact with the multimedia experience. Anytime there is a bright scene around that area, my eyes are immediately drawn to it. This needs go away sooner rather than later.CAMERASAs the camera count increases, so too does the usefulness, functionality, and flexibility. The rear now has a 16MB ultra-wide camera, 12MP wide-angle camera (normal), and 12MP telephoto camera. The introduction of wide-angle is super useful and one I use very often. Each camera captures excellent pictures.I told my Pixel 3 and don't have it for comparison today. Are there better cameras available? I'm sure there are. But unless you are really comparing back-to-back, I doubt you'd notice. In particular, if you like to record video. That's one area the Pixel and some other phones don't do as well. The stability and clarity when recording 4K @ 60fp is excellent. Combined with solid audio recording and you've got a great overall camera package.I'm not into selfies, but that 10MP camera is somewhat mandatory these days. It's unfortunate it has resulted in a small but very noticeable hole in the screen. Which as noted above, is absolutely noticeable. In either case, it takes solid pictures as well. No complaints there.FINGERPRINT READERUnfortunately, there is another negative feature change. With the Galaxy Note 9, and virtually every other phone with a physical reader, you can just rest your finger and quickly unlock/wake your phone. With Samsung's implementation of the in-screen reader, you have to press firmly and wait a second for it to register. And if it doesn't read your fingerprint right away, it may be a few seconds or repeated attempts.If the screen is turned on, it does tend to be quicker. But you still need to press firmly and wait longer than in the past. I'm really hoping a software update improves this. Otherwise, I may just go back to the power button and a pin.DEX &amp; ""YOUR PHONE""There are a lot of other software features, but I did want to highlight these two as they are unique and stand out for me. I got used to Dex with my last Samsung phone. And there continue to be minor but useful improvements. Dex is surprisingly useful if you want to do some light work. When I'm on-the-go I can easily plug in a USB-C to HDMI cable, Bluetooth keyboard/mouse and have a portable desktop experience. You can also now use a normal USB cable and windows app to access Dex, it's just not ideal for games and multimedia.I've got personal and work e-mail, browser, youtube, office apps, and a range of other tools. I don't need to do video or photo editing on the go. And I found this can meet just about any task I need or want to do while traveling. This is a little more useful on a tablet, but in a different way, as the keyboard is already included. Less to travel with.And then there is the new Your Phone feature. This is a little more ""early stage"" in development, but still handy. Just plug in a USB cable to any Windows PC and you can mirror what's on your phone. You also have direct access to messages, but the mirror function is nice. You can interact with your phone, on the PC. All while charging it.I'd like to see more dedicated ports into this app. But being able to see and respond to any notification is great. Just don't expect to play games or smoothly stream youtube.THE PHONEThat's right, this is still a phone. And as such, it needs to make phone calls! And other core functions. As I use this for both personal and work, this is a critical but often overlooked feature. While it may feel like more of a check-box item, I've had more than a few phones over the years that still fail in this arena.I'm pleased to report that phone calls and text are excellent. Speakerphone works well. No issues with hearing anybody and vice versa. The radios appear to be good quality. Bluetooth is reliable as well as wi-fi, which is very fast. I'm easily pushing 300-400Mbps up/down with my Google Mesh Wireless network.CONCLUSIONSo how exactly do you justify a $1,100 phone? Honestly, you really don't justify it. At least not in the traditional sense. My Note 9 would have continued to serve me well for another year. But we buy these phones because they're interesting, they entertain us, and they make life a little bit easier. And considering the significant percentage of time many of us spend on these portable gadgets, it starts to make sense that we want to allocate more budget towards them.While it's not perfect (no phone is), I still believe Samsung has enough features, functionality, quality, and performance for me to ""justify"" the Galaxy Note 10+'s price and keep it as my daily driver for another year. I'll still grab a few more phones that intrigue me between now and the Note 11, but I'd be surprised if they truly replaced this one. If they can, I'd welcome it.",417
5.0,"Sorry
  
","September 9, 2019",Yes,"My New Note 10+ arrived Tuesday Morning.  Having Owned The Note 1, Note 2, Note 4, Note 7 (for a few hours before it was recalled), and the Note 8, I had more than a few expectations. After 6 days of ownership, i can honestly say every expectation was meet or exceeded. Battery Life unbelievable. Screen excellent. Included software, great. Have used it on both Verizon &amp; AT&amp;T with no problems. Not expecting any problems in Europe in a few weeks, in multiple countries, with 2 more service provider's SIMs  With 512GB built in, and my installed 512GB Micro SD Card, I can carry with me every document, every picture, every video that i want to not only for areas without or high priced Wi-Fi, but also as a secure backup for my small business files. So Why am I sorry?  I am sorry for the external battery sellers - I don't need to carry one with me. Sorry that I have purchased multiple QC3 vehicle chargers. Don't need most of them.  Almost sorry I have 3 tablets, 2 at offices, 1 at home. Have not quite given those up, but they may end up for sale.  Is the phone overpriced? Of course it is, however it is something I use virtually every waking hour.  Extremely pleased with it!",214
1.0,"Disappointment
  
","August 30, 2019",Yes,"Upon receiving the goods there were box scratches, screen scratches. I don't want to exchange because I hate waiting.Next time, I'll go buy a mobile phone store.",173
5.0,"GOOD but not the BEST!!!
  
","August 26, 2019",Yes,"I'll keep this short, phone is great and all but moving from the Rog phone to this one is super hard, and this is mainly because the refresh rate 120 back to 60 is actually kind of straining on the eyes now ( eyes are kind of sensitive). Besides this everything else is great, oh and if you don't like the hole punch in the middle because of video watching there is like this semi full screen mode that just black bars the side and it's great, but 60hz on a $1200 phone hurts the soul.",90
4.0,"Good phone, not great...box had been opened
  
","September 7, 2019",Yes,"Slightly concerned as the box had been opened before getting to me. The phone seems to be new from everything I can tell, but that took some of my excitement away...not knowing for sure if someone had handled the phone prior to me. The sticker that is usually on the back of the phone was not present...you could see where it had been. The phone is quite nice, although not sure it's worth 1200 bucks. The camera is not really what the YouTube reviewers say it is...it does a lot of softening to faces...even with beauty mode turned off. Not sure if I'm keeping the phone after all of the above...still deciding.",82
2.0,"Very disappointed wasted hours on setup it defective I must return it.
  
","August 31, 2019",Yes,The phone was defective out of the box. I had spent hours on setup before I realized.  I contacted Samsung support got a tech that knew less about the phone than I did grrr...hate that wasted my time and still didn't work.  My S pen would not operate the camera.  One of the features I upgraded for from the note 8.  Basic features were fine it's a good phone but I bought it for a camera upgrade.  Just a waste of time I just plan to return..what if the next one has another problem?  Oh the pictures were not much improved.,68
5.0,"The fancy of phones.
  
","August 23, 2019",No,"The Note 10+ is like that one popular kid everyone knows at school. It has many cool features, no headphone jack, but it just had the best looks. Buy the Note 10+, iPhones are overpriced.",89
5.0,"Best Phone Out There Hands Down
  
","August 30, 2019",Yes,"I purchased this phone because my old Galaxy S7 finally bit the dust.  I have in fact purchased phones for my parents the Note 8 and Note 9 and I have seen how impressive they were and how well they performed.This one is a de facto evolution to those phones.  It takes awesome pictures, it is buttery smooth in terms of speed, the pen features improved (however, it is smaller).  Everyone is jealous because of the screen size and capabilities.The only downside to the phone is the fact it is north of $1000 pushing towards the $1500 once you get the 512 GB Storage, the 512GB SD Card, Insurance and an OtterBox Defender!As a consolation prize, Amazon was cool to throw in one of those nifty 2nd Gen Echo Plus that was tied into it as a promotion.  Nobody came close as a promo item.",64
5.0,"Beautiful phone!
  
","September 5, 2019",Yes,"This phone is great! Very beautiful. The shipping was fast except i had to bug down DHL cause they keep delaying custom and wont notify or tell you why. No scratches or glitches that I can see so far. Came with plastic screen protector, definitely need to get a case. Pretty happy :)",41
