5.0,,"April 3, 2019",No,None,0
2.0,"Good, but with some flaws
  
","May 3, 2019",Yes,"Phone new and sealed as advertised. Received in my hotel during my stay in Orlando, FL. Used with a local US carrier and also here in Brazil (where I live), without any problems. Amazing phone.BUT, some things have to be pointed out:1. The phone came from Singapore (as can be seen from some pre-installed apps).2. So, Samsung Pay (and Samsung Rewards) does not work with non-Singapore local credit cards. Although it could have been clarified in the advertisement by the seller, the problem is related to a Samsung policy, which I clarified directly with Samsung Technical Support in Brazil. The country in Samsung Pay cannot be changed (even if reinstalled locally). I even managed to register my international credit card issued in Brazil, but Samsung Rewards points will be lost because it could only be used in Samsung's Singapore partners. As I use Samsung Pay a lot, this is very disappointing.3. Came with a (somewhat large) Type G charger (standard for UK, Singapore, Hong Kong) and an adapter for US standard.4. Did not receive the 128Gb micro SD card.I’d be glad if seller could help with any of these items, or share other related experiences.",221
2.0,"DOES NOT WORK for VERIZON or SPRINT
  
","May 21, 2019",Yes,"I wish this had been more obvious to me before my purchase, so here's my input and I hope the people see it who would be affected.This phone is NOT COMPATIBLE with Verizon, Sprint, and their sub-carriers!I'm disappointed that I didn't know this until it arrived and now I have to return it :/",163
5.0,"samsung galaxy s10 international
  
","April 3, 2019",Yes,I received the phone earlier than the expected arrival date and it was new and sealed as advertised. I am from the USA and I have T-mobile USA as my service provider. I upgraded to this from a Samsung Galaxy S6 I got from T-mobile in 2015. This international version does not have any carrier bloatware and I used the SIM card from my old S6 and put it into the S10 and it works flawlessly.,134
5.0,"⚡⚡⚡
  
","March 21, 2019",Yes,Very smooth and fast even tho it has the exynos 9820 there's is no lag while playing video games at ultra graphics,63
5.0,"Turely Reliable
  
","May 16, 2019",Yes,"I initially doubted the quality of an international model and the low price of the model. In the end, I was wrong. It's perfect.",38
5.0,"S10 🤗
  
","March 29, 2019",Yes,"Its looks nice 🥰 and it runs smooth, doesn't lags. It's the perfect phone 🤫",35
5.0,"No more afraid
  
","March 29, 2019",Yes,"I was afraid about this, but now, nothing at all, excelent product and perfect conditions. Just to say about delivery, its slow. U have to wait",32
3.0,"tgy
  
","March 22, 2019",Yes,same model as said brand new in box. It is the exynos model,27
5.0,"Great phone
  
","April 26, 2019",Yes,Amazing phone for the price and it works with Verizon with no problem,19
3.0,"Really nice phone... a bit disappointed however
  
","June 10, 2019",Yes,"This is a really nice phone, the quality of the camera is amazing. I just have a feeling that the phone was not new. I gave it 3 stars because the seal broken, and the phone was already set up which is weird, as all the phones I've purchased always required charging and set up. Not so sure if it's new or not, apart from that it is a great phone.Update:  I have been having trouble with my phone and it hasn't even been a month. the screen sticks, keyboard won't come up. Have to go to home screen, close apps and reopen app. Also, i like always being able to view the time with always on display,  the time cuts off almost as if the screen  is malfunctioning. I am a bit disappointed after spending so much money on a phone. To early to be experiencing problems",14
5.0,,"April 3, 2019",No,None,0
5.0,"It's original!
  
","May 10, 2019",Yes,"Im using my galaxy s10 in Italy and works great, I actually checked the emei to make sure it was an original s10 and yes it is! Runs as exynos and I love it!",18
5.0,"Prism Green is a beautiful color
  
","June 27, 2019",Yes,"Was scared the green might not be real after getting a white note 9 from somewhere else, but these guys set me up with this beautiful phone. Even got a free case and 128gb micro sd card!The phone is unlocked so it will not work on Sprint or Verizon. Do some research, don't be like these other idiots writing reviews. I just popped my Cricket Sim card in and my phone worked.",13
5.0,"Bought for Dual SIM: Got a Great Overall Phone
  
","August 3, 2019",Yes,"I did about a month of research prior to purchasing this phone. Comparing online the Samsung S8/S9/S10 and other brands from China. Seeing that I have owned Samsung from the S3 I am partial to the brand as it has always done well for me. I needed a phone in the US to function with two SIM cards simultaneously, one for work one for home, without having two completely different cell phones. I should also say, that I was not interested in an Apple Device.  The carrier that both of my SIM cards uses is ATT. At the time of purchase, ATT does not carry a Samsung device in the US that offers a dual SIM capability.In the Box (factory sealed with intact seal):- Galaxy S10 (SM-G973F)- AKG wired headphones w/mic- US wall plug w/USB C cord (charger)- Pre-installed screen protector (brand unknown as it was already on the phone)- Clear plastic case (brand unknown, and offers minimal protection)- 128GB SD Card (not able to use internal to the phone due to my need for 2 seperate SIM cards)- USB C Male to standard USB female adapter (use for data transfer and/or keyboard/mouse capabilities)- Informational material specific to the phone- Internal SIM card holder with dual functionality (Can hold 2 micro SIM Cards or 1 micro SIM and one SD Card)Initial power on and setup:- Battery was 50% +/- charged- Initial power up was in another language, however a drop down menu on the initial screen offered English (Canada). This option was selected and found to be what as needed for proceeding with US setup- Effortless data transfer from Samsung S8 to S10 using Samsung Smart Switch.- The ATT SIM card was plug and play, no additional setup was needed other than inserting the SIM into the phone.Initial impressions/functions of S10:- Dual SIM capability (yes, both are physical SIM cards (no eSIM)- Wireless charging (Yes)- Headphone jack (Yes)- 3 main rear cameras and 1 front camera (all function very well)- Hidden fingerprint scanner (works well)- Facial recognition (works really well, I no longer need to use my fingerprint unless I am in very low light conditions)- Bixby, (another ""helper"" akin to Alexa, Google, etc. I was never really a fan of my phone talking to me, so this will probably be more of a toy than a feature for me personally. However, there is a dedicated button on the left hand side for Bixby. This button can be customized with a tap or double tap for an additional quick launch of an app. I chose a single tap for my camera.- Other interesting, helpful, gimmicky, etc function on the phone. Some are great and add well to the phone. Others, I simply disabled or hid.Dual SIM: The real reason I purchased the phone.- I will start by saying that this international version of the S10 was EXACTLY what I was hoping for in a cell phone.- Two separate physical ATT SIM cards are being used.- On the phone screen I am able to see signal strength for both SIM cards- I am able to set a default SIM card for: 1) Phone Calls, 2) Text, 3) Data. This is done easily with a swipe down from the top of the screen and shown directly below the primary settings (such as WiFi, GPS, BlueTooth, etc.)- However, default does not mean that the ""secondary"" SIM is in standby.- When making calls, I am given the option of easily calling from SIM 1 or SIM 2 (which can also be identified with different symbols rather than numbers, such as a home symbol and work symbol).- When texting, I am given the option of easily sending from SIM 1 or SIM 2, same things with the symbols.- When using data, the phone uses the default setting that was chosen by the user.- The phone is able to receive calls for both phone numbers without having to change settings.- All in all, I am very impressed with the intuitiveness of the design, capability, and ease of use with the dual SIM functionality.Overall Impression:With everything from purchase cost, minimal wait time for delivery, setup, use, and functionality I am very impressed. At this time, there is not a single thing about the phone where I would say ""this could be better"". I will say that I am not a gamer, thus the phone will not be used for them. I cannot comment on how well it would be used for games. I do take many pictures than range from people to panoramic vista views of National Parks and the phone is used as my main daily use camera. Samsung has never let me down in this area. Very happy with this purchase.",8
