5.0,,"December 20, 2019",No,None,0
1.0,"International is not Global (Not US compatible)
  
","November 24, 2019",Yes,"For someone who is unfamiliar with the terms for foreign produced cell phones, international sounds like it would work internationally. Many of the questions are ""will this work with X network"" and people reply yes, it is an international phone. International phones are not produced to work particularly well in the US, and do not often have the LTE bands necessary to have good service. CHECK THE BANDS NECESSARY WITH YOUR PROVIDER!Also, these often tend to be Chinese versions of the phone with the Global ROM flashed over the original Chinese ROM. This means that you could have issues with updates and such, limiting your use and enjoyment of the phone.This phone may work well for you, however, make sure it works with your network and that you do want the international version instead of the global version.",26
3.0,"Camera sucks - 48mp and 4 camera doesn't mean the pictures will be good
  
","November 20, 2019",Yes,"I was looking for a replacement for a kid's phone,  she have a xiaomi mi a2 to play games, take pics and message her friends. I  thought this would be a good replacement due to the full screen and a 48mp camera to take pics.  But it is not much better,  in a odd way I thought it was worst.  I compared this phone to my Samsung Note 10 and my daughter's Mi a2,  this is what I found.  To no surprise the Note 10 takes much better pictures, is faster and just better in every way.  I am not taking off any stars due to this since the Note 10 is a much better phone.  I am giving this 3 star because it is just a little bit better than the Mi A2.  It is a better looking phone, it feels like a high end phone while in hand than the A2,  it is faster (not by much), more memory, bigger and better screen,  but the most important and the item that made me want to buy this phone in the first place was the camera.  The camera was subpar considering Xiaomi is advertising how good this camera is.Indoor pics - sucks - The A2 took better pics indoorNight mode - sucks - almost useless - note sure if I am comparing this to the Samsung but its uselessMacro - sucks - A2 took better pics and it doesn't even have this option/featureThe camera was such a disappointment that I reset the phone and printed out a return label.  I did not even take this outdoor to test it,  since indoor sucked and might of be half the pics she will take I decided it is not even worth continuing to test it.Good:Faster than the A2, comparable to mid end phonesFull body screenLoud speakers - Keyword is loud, not nice soundingIts very nice to look atPriceWide angle cameraBad:Camera - indoor, night, macro, front/selfie camera all suckedSpeed - lags a little bitI did not feel that it was worth upgrading to this phone from the A2 even when the A2 is already a year or two older.  Thats how bad I thought it is.  Either the A2 is really good or this is really bad.  This phone on paper should be been easily much better.  Like day and night difference.  This is why it gets 3 stars.",19
5.0,"Why bother with overpriced flagship phones?
  
","December 20, 2019",Yes,"First of all, contrary to another review, this phone DOES work in the US. I'm on Mint Mobile and I've had 4g LTE in Upstate NY, Chicago and Seattle. Even backroads where I had no signal with Sprint towers, I've got more now.With that being said, I love this phone. I was using a Galaxy S7 since 2015 and the difference between the two is night and day. Apps load quick, I can fly my drone without worrying and there's a ton of new features here with Android 9 (and soon to be Android 10)My main concern going in was reports of unnecessary bloatware and ads, but after switching to a third party launcher and disabling all the ""recommendations"" in Settings my phone is ad free.Can't recommend enough, and I think I'll be sticking with Redmi phones for a long time. It's a high powered unlocked Android device.",9
5.0,"Best budget phone
  
","December 4, 2019",Yes,"Fantastic phone for sub $200.  Fast, good camera, good space, good battery. Working great on T-Mobile (I'm in NYC) plays all modern game great and online video (Netflix, YouTube, Amazon) work great. Screens beautiful. No complaints.",7
4.0,"Included charger does not work in US
  
","December 13, 2019",Yes,The phone is really nice. I don't have any complains to the phone. However the charger included is for somewhere else. It does not fit in the power outlet in US. So I have to use my existing charger instead.,6
4.0,"Buen teléfono pero.......
  
","December 24, 2019",Yes,"Es un buen teléfono para el precio que tiene , pero los acabados en plástico no me terminan de convencer.Tengo el Redmi Note 7 y se me daño a los 6 meses por dejarlo caer el agua por menos de 1 min. Después de ahí solo eran fallos, me cambié para este por esa razón pero veo que por los acabados en plástico que tiene será lo mismo que el Note 7.Algunas de las Apps mal optimizadas en el sistema operativo Miui 10 y 11.... Y si eres de Latinoamérica las conexiones a Redes o Gps no serán las mejores.",3
5.0,"Nice!
  
","November 12, 2019",Yes,It's everything that I had hoped for.,5
5.0,"Gran SmartPhone
  
","November 24, 2019",Yes,Excelente dispositivo. Muy ergonico y con buenas características y un buen precio,3
5.0,"Best phone undee 200$
  
","November 8, 2019",Yes,"Beautiful phone with all screen display and 4 cameras. Well made, runs well. Best phone under 200$.",4
5.0,"Excelente
  
","December 21, 2019",Yes,El mejor teléfono del año combinando calidad precio,4
5.0,,"December 20, 2019",No,None,0
5.0,"Has to be the best phone &lt;$200
  
","December 30, 2019",Yes,"This phone DOES work on MetroPCS in the US (at least in my area).You will be hard pressed to find a better phone for the price. Compared to similarly priced phones sold by MetroPCS, these specs are amazing. If you are only use to budget phones, you will be blown away. From the appearance to performance this phone screams quality.",0
5.0,"The best phone for its price
  
","January 4, 2020",Yes,"The phone its fast and smooth and makes you feel like you're using a more expensive phone.The screen its good enough for an IPS display.The quality of the sound is very good.The 4 set of cameras looks amazing for a smartphone of this price. And the selfie camera looks good too.The build quality is better than I expected, but the phone is also a lot thicker than other phones out there.It comes with Miui 11 and android 9 (Pie) it works way better than I expected, but I think it would be way better with android 10.And the fingerprint scanner and the face unlock are fast and reliableThe phone comes with a silicone transparent case.",0
5.0,"Great quality! Great Price!
  
","January 6, 2020",Yes,"Great phone for the price. I watched a lot of reviews online before purchasing. I was a little disappointed by the camera quality when taking slow motion vids and some photos but, trust me, for this price it is a great buy. There is also help at your fingertips with the Mi community app, just incase you run into difficulty. It's a great buy, I love it.",0
5.0,"I love this phone
  
","December 22, 2019",Yes,"the order was made 2 days ago and I arrived perfect, with case and a European to American cable power adapter, very good provider",2
5.0,"Best in this range
  
","January 1, 2020",Yes,"Camera and processors are outstanding. Design at its best. I personally like the bezel-less screen and top notch design. Although I encountered two instances when the phone was behaving unexpectedly and two apps started malfunctioning without human interaction. otherwise, Loving it so far.",0
5.0,"Precio bajo para un excelente producto!
  
","November 25, 2019",Yes,"El telefono ha satisfecho todas mis espectativas, desde el sonido, la cámara, el diseño, etc. La entrega se dio antes de la fecha indicada por lo quedé más contenta. Excelente equipo... Recomendado!",2
5.0,"Su alta deficiente en sus imágenes y vídeo.
  
","November 18, 2019",Yes,"Me encanto, su diseño, presentación y cámara con alta definición.",2
4.0,"Buen producto, buena calidad.
  
","December 13, 2019",Yes,"En buenas condiciones el producto. Era lo que esperaba. Lo único malo es que el cargador es para tomacorrientes europeos tipo C, no funciona en Suramerica o Norteamerica.",2
5.0,"Great battery life, decent camera even indoors.
  
","December 11, 2019",Yes,So far working great on at&amp;t. Indoor photos are decent and usable.  The battery lasts forever with heavy use.  I prefer the lower resolution screen and lean processor for longer battery life.  Performance is still pretty good after loading tons of apps.,1
5.0,"Excelente
  
","December 29, 2019",Yes,Este equipo tiene una excelente relación precio valor. En base a su costo ofrece un producto muy completo con excelente presentación y muy rápido en su funcionamiento lo recomiendo ampliamente,1
5.0,,"December 20, 2019",No,None,0
1.0,"No recibi el paquete completo
  
","January 10, 2020",Yes,"Es lamentable tener que dar una opinion negativa debido a que cuando fui para recojer mi paquete donde debia estar el celular me lleve la mas grande desepcionde mi vida ,pues la caja solo contenia los acesorios del celular y nada mas, el celular nunca llego a mis manos",0
5.0,"Excelente
  
","December 11, 2019",Yes,"La mejor inversión, mi hijo está muy alegre y le encantó",1
