5.0,,"June 1, 2019",No,None,0
5.0,"Excellent, complete home audio system. Alexa/Google Assistant available, but not yet fully capable
  
","June 1, 2019",No,"When I had just purchased a home, I was looking into having it wired for whole-house audio. Looking into multi-room systems on Amazon, it was apparent to me that it wouldn't be cheap: cost of the speakers, controllers, PLUS cost of running wires throughout the house. When I saw the SONOS PLAY:1 promotions, I found its wireless solution to be more cost effective, and with better speakers to boot. I have since tried the SONOS ONE speakers that were realized in late 2017. In 2019, the Sonos ONE (Gen 2) was released, which currently offers no significant advantages over its predecessor except for 2 areas: faster processor (for future expansion) and Bluetooth LE (for speaker setup via Bluetooth at this time).Below are the pros and cons that led me to decide for the Sonos system.NOTE 1: a Sonos BRIDGE is NOT needed to use the PLAY:1 or ONE. See the INSTALLATION section of this review.NOTE 2: the PLAY:1 is the same as the ONE without voice and touch integration. As such, the PLAY:1 is less expensive.NOTE 3: the ONE (Gen 2) is virtually the same as the ONE (Gen 1) except for a faster processor and Bluetooth LE included. This makes it slightly more future proof.PROS- Hi-Fi. Speakers sound better than the multi-room, wired systems I looked at for less than $500.- Resale Value. Wired speakers don't add much resale value to your house. So, why spend $1000s, only to leave the audio system behind when you sell the property or move? With wireless, I could take my expensive speakers with me to my new home.- Freedom to move around.With wireless, you are free to take the speakers anywhere you want throughout the whole house. For neighborhood block parties, I could even hook up the speakers to an extension cord out to the street, and stream music from my home. Or take it outside to your backyard. They are moisture-proof, but I wouldn't use them as permanent outdoor speakers unless you enclose them in protective casings.NOTE on wireless: each SONOS component is its own wireless client and repeater. Sonos wireless is a private, wireless ""mesh"" system, separate from your home WiFi. What does that mean to you? It routes music through its own wireless, leaving your home WiFi untouched. There's an additional benefit for that, as I'll explain after the installation note below. Most of the Sonos components (PLAY:1 and ONE are NOT one of them) have 2 network ports. This means, you can plug in the component into the network jack, and use the 2nd one on the speaker to connect your laptop.- Alexa integration: the speakers now support voice control, though it is a work-in-progress. Sonos updates the capabilities via software updates over time. Google Assistant support is scheduled to come in 2019, making the ONE a more desirable option than having a Google Home and Amazon Echo in the house. I do get frustrated far more often with Alexa not understanding me or my request. My whole family enjoys Google Assistant's better answers and ability to understand us. We can't wait for Sonos to bring the Google Assistant to the ONE. Note: we aren't fans of the Alexa on the Echo Dot either. Google Assistant is just that much better at recognizing commands and providing data. However, Alexa is a bit more advanced in the automation space. Pros and Cons, but that's for another review.[Update 5/2019 Google Assistant integration: it finally arrived and wow, the voice recognition is SO MUCH better! Our whole family is actually happy. Note that Assistant is not yet as fully capable as on Android smartphones or Google Home, but it is sufficient for answering queries and controlling smart devices.]INSTALLATION: First, the tech talk. You need 1 Sonos component to be plugged in to your home network (any of the PLAY speakers, Soundbar, Bridge, etc.) So, as an example, you must plug in either the BRIDGE or the ONE to your network with a network cable. This turns that component into a wireless access point (or as consumers tend to call it, a ""Wifi router"".) All other Sonos components will now be able to wirelessly talk to that plugged-in device. No other Sonos component has to be plugged in, as long as it's within wireless range of the plugged-in one. Should a component in your house be too far away (say, your garage) from the plugged-in one, you can connect it to your network via cable, if available, or set up a Sonos BRIDGE (or any other Sonos speaker) wirelessly somewhere between the plugged-in one and the Garage speaker. The BRIDGE or other speaker strengthens the wireless from the plugged-in one, and extends the range to the one in the Garage. Each Sonos component is both a wireless client, and a wireless access point/repeater. Each component talks to each other in a mesh network. Think of a spider net. Any part that is touched vibrates to the rest of the net.Tech-talk aside, think about this: One person (Person 1) is at a corner of the house. When he shouts, the person in the garage (Person 2) can't hear Person 1. The only way Person 1 can talk to 2, is to pick up the phone (talking over a wired connection, or plugging a distant Sonos component to the wired network) or having Person 3 stand between them (having a Sonos component physically be between both speakers) and relaying the information back and forth (what WiFi mesh would do). So, with each Sonos component/speaker, the Sonos wireless range gets extended.With the Sonos wireless mesh, you could humorously place a few speakers into each house in the neighborhood, and suddenly play the same music through each home. Try that with Bluetooth speakers. You wouldn't be able to.WiFi mesh TIP: if you have an Android device, you can Google ""Android devices on SonosNet"", and you will see instructions on how to use your Sonos wireless network (""SonosNet"") to connect your Android phone/tablet. This allows you to use your mobile device further away from your home WiFi. This has disadvantages and advantages out of the scope of this review. I decided not to use SonosNet for my tablets.NOTE: a Sonos BRIDGE is NOT needed to use the ONE. Just plug in the ONE to the wired network (ie your router), and it will work just fine. You still control it with the Sonos App from your mobile device. Once the ONE is plugged in, you can add other Sonos components to the system. A BRIDGE is NOT needed for that either. It's only needed if you want to extend the Sonos wireless range to a farther part of your house or yard for $50 vs buying another PLAY speaker for $100+)- Small size. The BRIDGE is about the same size as an Apple TV/Roku/WD TV Live. The ONE is about 2-3 of them stacked on top of each other. The ONE has a fairly hefty weight, a good sign of the good sound coming from its components.- Ease of Pairing. To pair other Sonos components (or with the Sonos Controller App), simply hit the Play/Volume Up button on the speaker, and the same combination on the other speakers. If pairing with the BRIDGE, hit the pair button on that component.- LED. The Bright LED can be configured to turn on/off via the Sonos app.- Ease of music sync.You can use the free Sonos app for your Android, iOS (iPhone/iPad/iPod), Windows Phone, Mac/Windows laptop/tablet (sadly, no Windows Store app yet) to control how the speakers play: you can easily choose which speakers to pair/unpair into groups. Grouping the speakers allows you to play the same music on those speakers. You can have up to 32 separate groups. You can also individually control each speaker from the app. Each group's volume is controlled by the Sonos app. So, if Speaker 1 is set to 50% volume, and Speaker 2 is set to 25%, lowering the volume by 5% will lower Speaker 1 to 45%, and 2 to 20%.Once music is playing, you can leave the house, and it will continue to play -- as long as the music source is not coming from that mobile device (meaning: if you're playing MP3s from your phone, and your phone leaves, it will stop playing. But if you started Pandora from your phone, or you told the speaker to play music off one of your network shares, it will continue playing since the source is coming from a device that's still at home.)PARTIES: one cool feature is that once you download the Sonos Controller app and pair it to one of the Sonos speakers (which authorizes the app/phone to talk to your Sonos system -- this prevents unauthorized people outside your home from controlling your speakers), each device can control the playlist. So, if you have guests coming over, and each guest downloads and authorizes the Sonos app to your system, each guest can now add/remove songs from the queue. Everybody can now be a DJ.- Stereo pairing for ONE.You can take two ONE speakers and set them up as Left &amp; Right channels for stereo output. WARNING: you cannot pair ONE and the older PLAY:1 for stereo. You either have to use two PLAY:1 or two ONE.- Expandability.Sonos did a smart thing. They released the less expensive PLAY:1/ONE to wet your/my appetite. As you use the system, you will likely buy more Sonos components to expand your sound system, resulting in more revenue for the company. You can add any Sonos component to your system, and they will all work in harmony. You can set up a complete home theater system that way too. I know, sounds pricey. It is. But it still is cheaper than having your whole house wired with nice speakers.- Alarm/Sleep timer.You can set up each speaker (or Group of speakers) to play music at a specific time, day, and volume (Alarm) from a specific source for a specified amount of time. Or you can also set a Sleep timer to play music for a specific number of minutes to ease you into sleep. I love getting waken up by mellow music (ie. Norah Jones) in the morning, and when I leave the home, I don't have to worry about turning off the speakers. It'll automatically turn off after the 45 minutes I set up for the alarm.- Sound. Sound quality is quite good. I will leave you with the reviews by others to read more about that. With the Sonos app, you can control Bass, Treble, and volume. I have the speakers play between 15% to 25% volume in each room -- they are plenty loud enough. Setting them to 100% can be heard through the whole house -- and the potential for your neighbors to complain. Even at low volume, the sound is very good. It's definitely better than most Bluetooth speakers. If you put the ONE in the corner of a room, the sound seems a bit more muffled due to the amplification of the Bass by the walls on both ends. You can fix this by adding more Treble, or by moving the speaker away from the corner.- Design. The ONE and BRIDGE are beautiful devices. They don't look out-of-place in my home. I bought the White ones.- Capacitive touch control: works very well.CONSI couldn't find many cons with the ONE. But here are some that have annoyed me.- Lack of screw hole for mounting onto stands like the PLAY:1. The ONE replaced the PLAY:1's screw hole with the power button. As such, an entirely new stand needs to be purchased, and Sanus makes one that accommodates the ONE and Play:1.- Cost. The Sonos system is expensive. Just look at the price of the other components. Holy moly. Still, if you were to wire your house with Bose speakers, the Sonos system is comparatively inexpensive. Again, I chose Sonos because wiring the house won't add much resale value. I like the idea of being able to take my Sonos with me to my new home.- Sonos App Interface. The app is clunky and looks outdated. It took me a while to figure out where to go to do what (and I love gadgets/toys. I'm a technology tinkerer!). It's not very user friendly.- Music sources. Not all apps can play to the Sonos speakers. You have to use the Sonos App, add the approved source to it, then you can play from that source. I wish you could re-route any audio from any device to the speakers. Pandora, network shares (NAS), iTunes, TuneIt Radio (built-in), iPod/iPad/iPhone, media files on your own Android/Windows device are all possible sources. At one point (if I remember correctly), my not-so-tech-savvy dad was able to beam his iPad's YouTube sound to the speakers without using the Sonos App. I didn't get a chance to verify how he did it, but I did see the ONE being available as a target on his iPad. Perhaps it was playing via the DLNA protocol. Either way, that was neat.- Input source. I wish that the ONE had a Line-in/Aux port so that you can connect any music source to it for playback, such as your TV or existing home entertainment system. Yes, the Sonos CONNECT takes care of that, but look at the price of that component! Even then, the CONNECT doesn't support SPDIF/Optical input.Weren't it for the Amazon/Target promotions on Black Friday, I would have been EXTREMELY hesitant to buy these expensive speakers. I bought two ONE during the promotion. With that said, overall, I'm quite pleased with the purchase. It came out cheaper than wiring the house, and I get to control my music from any of the mobile devices. That's neat. Lower the prices of your other components, Sonos! I hope for increased competition in the market to drive the prices down -- as of today, I'm not aware of any good, alternate, wireless HiFi solution.If you found this review helpful, please hit the ""Yes/Helpful"" button below to encourage me to write more. Thank you!",621
2.0,"False Advertising Alert!
  
","March 25, 2019",Yes,"I bought a few of these sonos gen 2 units and set them up. Easy breezy to do. Ran into a small hiccup with setting up Alexa but that was user error and I figured it out. It’s just a multi multi multi step process I wasn’t anticipating. The speakers are great. I love that I can take calls and not rely on regular Bluetooth speakers. However! I bought these with the intention to not have to purchase the amazon echo or dot or whatever because of sound quality. I’m finding that the Alexa function is incredibly limited. It WAS advertised that Alexa voice calls were unsupported. BUT it had no mention of other things, such as routines and other automatic processes. Why can’t I have an Alexa Routine work with SONOS? That’s one of Alexa’s features that are wonderful. Aaaaaaand now I have three speakers that are as helpful as coasters, in my opinion, with simple functionality that isn’t possible. This unit is 10 stars if they can fix with a firmware update. Otherwise I will likely send them back. It’s just not worth the cost to have limited Alexa functionality. It’s pitched as ‘use Alexa for everything but voice calls!’  Not true.Update: after three days? All of the speakers are out of connection and don’t work with Alexa or playing audio in general. I think there is a bug they need to fix where the device doesn’t connect to WiFi properly. I’m no tech wizard but I like to think I know mostly everything when it comes to easy-to-use devices and setups. I trouble shooted as best I could with customer service. Still no bueno.",149
1.0,"Sounds great but connection is a true nightmare
  
","March 12, 2019",Yes,The sound is amazing. So much better than my Echo speaker (obviously.)The connection gets worse each day. I never had any problem with a device staying connected to my network so I’m not sure If I got a defective one but I’m about 2 days from returning this. The sonos app is terrible. I wrote to them for help which is my last try before returning. This speaker won’t stay connected and then the process to get it reconnected only works if I unplug it and connect it directly to the router. If you are planning on keeping it right next to your router maybe it would be tolerable to constantly go through this?Alexa is slower to respond on this device as well.,117
5.0,"Quality Speakers!
  
","March 13, 2019",Yes,"Update:I’ve loved this speaker since I purchased it. I haven’t experienced connection issues like others.My experience has improved ten fold with Google Assistant. Alexa sometimes needed a reboot after voice went offline. Not once with GA. I have both Alexa and GA powering my setup. Best of both worlds.I can't compare this to the 1st generation Sonos One, but I know it now has BLE and a faster processor. The sound is clear. I also have multiple Play One speakers... Not a big difference in sound.My purpose in buying was the ability to use AirPlay. Playing music from a wider collection. Not locked into a specific app when playing from multiple libraries. Then the ability to group my nom AirPlay speakers.The biggest plus for me... Not only can I group all my Sonos speakers. I can also play through my sound bar that is connected to my Apple TV 4k. This has given me the ability to play the same music throughout the entire house. Extremely easy to setup. I haven't experienced any dropouts. Strong signal from all access points.I love Sonos for producing quality speakers. Easy to setup and use. For a blind individual like myself, this is appreciated. I love tech, and gadgets.... It's refreshing when a manufacturer produces a product that does what it says it will.I can definitely recommend this product.",68
2.0,"Was awesome for 10 minutes, reset, repeat
  
","April 8, 2019",Yes,"My wife's brother has two Gen 1 of these so I bought one for my wife's birthday. Followed instructions, got it set up. Worked great. Then 10 to 20 minutes later Alexa would say ""I'm having trouble understanding"" Reset it. Re-set it up, same thing. Over and Over. Called Sonos help number and the wait was 45 minutes. No. Returned for the the Amazon speaker which is half the price. Sonos, get your stuff right before releasing.",68
1.0,"Playlist Annoyance on a Meh smart speaker.
  
","May 18, 2019",Yes,"Seriously just want to be done with Sonos. Was excited at first but the introduction of the Sonos Playlist is pure cancer. I am listening to a song from the radio. We will take Google service for example. I can add it to my Google library which throws the song into oblivion or I can add it to my Sonos Playlist. Whoopie. I can't use Sonos Playlist anywhere except a place where I have Sonos. So I'm in my car... Nope, on my head phones, nope. At work... Still nope. I want to add songs that I listen to, to whatever Playlist I want. It would be so simple and it used to do this. Click add to Google or whatever Playlist and then choose one.All I now get is Sonos. By doing this you take away my ability to be mobile and convent which I believe is the corner stone to the product. Alexa or Google assistant and extremely slow and most of the time doesn't recognize my voice if the music volume is up.Last piece I know Sonos Playlist is good for home allowing me to utilize multiple different playforms of music. But it should be an option not the only thing.Please fix this and I will update my review.",34
3.0,"Bad connection, great sound.
  
","April 18, 2019",Yes,"If you are getting a Alexa speaker. This is it. The sound is amazing.I have a HomePod at home, and I got this for my GFs place. Sound is real good.But.I got it for Alexa, she’s very into that eco system. She has a normal echo already, and it worked great. The Sonos is alright at best, we first try to connect them both to extend the Alexa reach, it worked. But the Sonos looses connection constantly and needs to be setup again.Since I bought it 2 months ago I have set it up more than 20 times for her. I was hoping it was just a software issue, but it’s still to be fixed.The nights when it just randomly says “lost connection” is getting annoying.",25
3.0,"Great sound, but Alexa integration needs work
  
","March 18, 2019",Yes,"The sound quality is great, far better than any other smart speaker I've tried, but the Alexa integration is awful. It won't respond to voice commands the first two or three tries, and the audible chime doesn't seem to work half the time. Hoping it's a software issue that will improve over time, but given the One has been on the market for awhile, not hopeful.",24
1.0,"STAY AWAY - WORST SONOS PRODUCT EVER, YOU WONT BE HAPPY
  
","June 3, 2019",Yes,"Worst Sonos product ever. If you use Alexa you’ll get skips incomplete sentences and nothing played until you get the ’sorry I'm having trouble right now’, so you unplug it and it works for a day. Even using the sonos of app when it gets like this it doesn't work. Spent an hour with a very nice support person trying to fix it sending diagnostic after diagnostic and resting after resetting, but in the end they are just broken, no amount of button pushing or resetting fixes them.  Have  two beams, an amp, three earlier ones and a three,  each work flawlessly. These are crap. Until they fix the software stay away. Been a son is is fan for many years - if this was my introduction never would have spent another cent with them. I would return but trusted Sonos because of my long good history and threw away the boxes. :-(.  DO NOT WASTE YOUR MONEY.",18
