Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"The best amazon
  
",1.Dec.19,Yes,excellent product and delighted Thank you amazon for your incomparable service__,0
5,"Muy Bueno
  
",7.Dec.19,Yes,Excelente producto y rápida entrega,0
5,"Llegó a tiempo
  
",8.Dec.19,Yes,"Excelente, el teléfono vino en perfectas condiciones, nuevo, en su caja con todo lo que debía de traer.",0
5,"Compra de celular
  
",17.Dec.19,Yes,"Exelexente artículo, lo recomiendo.",0
5,"Awesome phone. Good quality.
  
",18.Dec.19,Yes,Good value for money. Mid range phone but gets the job done.,0
5,,20.Dec.19,No,None,0
5,"Excelente
  
",31.Dec.19,Yes,"Muy buen celular, doble sim y memoria expandible independiente",0
4,"Buen teléfono a buen precio.
  
",31.Dec.19,Yes,"El mejor teléfono que he tendio hasta ahora, buen diseño, buena cámara y buena pantalla.",0
5,"Excelente dispositivo
  
",31.Dec.19,Yes,La única pega seria el display que no es amoled sino ips,0
5,"La mejor opción del mercado
  
",4.Jan.20,Yes,"Gran terminal, con una excelente camara y la mejor calidad precio, el mejor regalo que pude dar, compraría otro sin duda",0
5,"Buen Celular
  
",7.Jan.20,Yes,"Es un buen celular, vale el dinero invertido en el, lo recomiendo en su totalidad.",0
