Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"To have internet
  
",18.Oct.19,Yes,I love the color,3
1,"Poor Tech Support Experience
  
",18.Oct.19,Yes,I needed tech support. The tech was inadequate.,105
5,"Great Value!!!
  
",18.Oct.19,Yes,"I_e been waiting for the next generation for some time. I got one of these for when I_ in my hot tub and is perfect to sit on the patio and have great sound. Easy setup, great response time, the sound is fantastic!",83
5,"The new echo is very responsive. Will be buying addons
  
",18.Oct.19,Yes,"Just set up the new Echo 3rd generation and alexa is very responsive, great sound quality, and you can easily connect other premium services. Just trying to figure out how to connect Netflix.",13
5,"The Pros, Cons and Oks for the Echo 3rd Gen (HR).
  
",18.Oct.19,No,"Pros: This is a solid built machine. Very sturdy and no dust cracks, while retaining its simple form. One of the few times I can say you_e getting exactly what every picture on the web is showing. I had the basic black design, but I do appreciate that Amazon is offering more colors rather than there basic set (even if it_ only a few generic colors). The mute option is the most appreciative tool. When you activate it the classic blue glow will fall into the red, giving you the visual display that your privacy is being protected. The sound performs exactly what it_ built for. I found no issue in testing in an open living room. The volume goes to great levels as once again, for a 360-degree smart speaker, Amazon reigns supreme. Testing all ranges of music, I found that that bass to be rich and powerful. My colleague has the previous Echo Plus and she states that there is an improvement in the bass with this Echo. An overall rich sound when a piano came in and a warmer outcome when acoustics came into play (You_l get the bass experience when you hit those hard beats). Like any other model, the Bluetooth connectivity between a third party stereo works flawlessly. I tested this out with some Bose surround sound, and nothing but clear music. You can also pair the Echo if you have smaller / weaker speakers. Both together will pump up the experience. The connectivity is so flawless that buying two of these devices (or use Echo_ previous versions, if you have one) and put them in separate locations doesn_ make this a bad idea. You_e going to get great quality in music without paying an am or a leg for it. I have to appreciate Amazon for not pushing their music platform. They offer the usual Spotify (which I used) but also Apple Music, Deezer, TuneIn, even BBC sounds. You_e getting a lot more features than just a basic smart speaker. Using Google Home for over a year I can say that just saying _lexa felt more natural than saying _k Google. Not to mention having Alexa listen to me every time I said: _lexa (Google Home users will understand this). Like before, smart applications fit like a glove in this system. I only used it for lights and the Echo was spot on. This feature is more common than ever on any smart speaker, and the Echo does what it_ supposed to do. I admire the organization of the app because it_ your remote control on anything you want the Echo to do. Turn off lights, switch music, mute volume, install new features, and so forth. We all carry our phones like carrying our driver licenses when going outside. This day in age I_l always prefer an app than a physical remote. I did some Alexa calls on this and found only clear responses and answers (this will depend on your Wi-Fi). I would give 70% of Alexa sounding more human. Everything is in the cloud so, you don_ need to worry about manual updates. All taken care of. As I mentioned before, everything else is the same in a smart speaker. Ask for the weather, traffic, upcoming appointments, and all other general questions. I didn_ test all of them because_ell is the same technology as last year. The biggest difference in my book is the price. Newer and cheaper.Cons and Oks: No Zigbee controller. This isn_ much of an issue, but if you already have a smart house layout than you_l need to spend some extra time configuring with the Echo. The issue for this is that it puts more work on the Echo than you need. Also, there may be some smart devices that won_ work on the Echo because of this. I know last year's models had some connectivity issues with Philips Hue bulbs. Keep an eye out for which smart devices are compatible with the Echo. I did notice that the app slows down when you put a lot of apps and smart applications in the Echos. I tested a lot of features out that require a decent amount of downloads, but the results did create a delay in the app. I have to assume without Zigbee_ software, if you have a lot of smart applications connected to the Echo, and with the general apps you use, there will be a delay in the long run. The Echo gets loud. Loud enough that you_l get some distortion when you_e around 95% in volume. The effect is shown when a lot of bass is begin made. Please note that 90% and up is booming your entire house. Compare to Google Home, Alexa still isn_ the brightest smart speak in the family. For the basic day to day task it works fine, but those random questions that we tend to have throughout the day Alexa doesn_ deliver. Alexa will usually provide you with a quick one-sentence summary (Unlike Google, it would provide you a short paragraph.). This issue doesn_ happen all the time, but you_l notice it when it does. I_ trying to learn Spanish, so asking smile Spanish questions with Alexa is not reliable. Example I will say _lexa, what does _ué estás haciendo in Spanish mean (What are you doing?)? Alexa will say _hat are you happy. I_e been studying for 6 moths so my speech on that sentence was spot on, but Alexa. Not a reliable study buddy. I had the first version of the Echo and all I can say is I miss the rotation ring. Bring it back Amazon. The design is nothing new. It_ built very solid, but it_ identical to Echo Plus 2. My colleague had the Echo Plus and putting them aside there was no way you can tell the difference (a nice note if you want to steal your friends and replace it with the last version). Even the sound is almost similar to the previous Echo. Both are fantastic, but almost the same.Bottom Line:It_ a great smart speaker system, but almost identical in every way as its previous model. There is nothing wrong with that because Amazon does put in a lot of features into this Echo that makes this right in the top three (Google Home, HomePods, and the Echo Family). It_ accurate, excellent sound, and lower in price than its previous model.Some concerns are the effects in the long run with those who have a decent amount of smart applications, and making sure the compatibility can be performed accurately. Also knowing the limits of what Alexa can and can_ do as the hardware is identical to its previous version. I wouldn_ be surprised if you want to just read Echo_ previous model amazon reviews. Trust me when I say that they_e almost identical in sight and performance.In the end, the reason it doesn_ matter about the flaws is because the price is well worth what you_e getting. It_ a machine that I can see using it every day for the simplest things such as setting up an alarm to enjoying it in small parties. I will say that if you_e planning to use your surround sound stereo connected to this, then this is a must buy. You pay a heavy price for a HomePod, enjoy a generic performance for a Google Home, and are presented with an overall user-friendly experience with the Echo 3. Cheaper than its predecessor and the worth every penny.Overall: A tiny upgrade from its previous model, but still an excellent experience in sound for all.Hope I was a help to you.Love,Honest Reviewer","1,255"
5,"Another great ECHO!!
  
",18.Oct.19,Yes,"Set-up took all of 30 seconds.Great,customizable sound. Good bass for rock;good overall sound for classical. Looks nice,too!I hope that,in the near future,I can pair my  DOT,3rd gen for even more immersive sound.Overall,very pleased!!!",14
5,"ECHO SOUNDS PERFECT
  
",19.Oct.19,Yes,"EASE TO SET UP. YOU CAN TALK IN DIFFERENT LANGUAJES, 100% RECOMENDED",3
5,"Overall really nice product with good sound quality.
  
",19.Oct.19,Yes,"I mainly use this Alexa as a speaker for my music. The sound quality on this Alexa is better than on the previous Alexa in my opinion. It's super easy to set up and use. I often change the location of my Alexa as well because as I said I mainly use it as a speaker.  It does really well if you need to unplug it and and plug it in in another location (as in it'll connect to the wifi on it's own and you can use it as you normally would without any hassle). I got the charcoal color and it's very nice visually. The Alexa app is also very convenient to use with it. You can personalize the sound of the bass and other mixes too. Overall, I say it's a really nice product. The packaging was super nice and felt high quality as well. No problems with shipping too.",8
5,"Worth the upgrade from Gen 1
  
",19.Oct.19,Yes,"Much better sound.  It's smaller by a bit too.  Easy set up.  Love it.  I bought 2 but might get a third. The sound improvement warrants that.  Also, the ability to sync all 3 to play the same tunes simultaneously.",3
5,"Hit's the mark
  
",19.Oct.19,Yes,This sound quality is solid and is exactly the improvements that were needed from previous generations.,2
5,"Great sound quality
  
",20.Oct.19,Yes,Great sound quality! Love the hand free ability! Lots of family dance parties in the kitchen with the kiddos!,5
5,"Amazon Echo Does It Again!
  
",20.Oct.19,Yes,"I suppose most people are wondering the obvious? Does it have any new features? Does it go well with your decor? Can you order a pizza and in fact, have Alexa pay for it? OK, that one I haven't tried yet... but I will tell you that it is an upgrade, looks sleeker than older versions, and the sound packs a  punch!Some services like apple music are atrocious! The service doesn't stay connected, and it's hardly useable. I venture to guess that this issue is fixable but this far is a letdown.If you're looking for a smart assistant that is extremely useful and always works... look no further! You won't regret it!",11
5,"Love it
  
",20.Oct.19,Yes,Received my echo about 2 days ago. Amazon was very good to help me set it up. So far I love it. I would definitely recommend it.Love my new echo Alexia. The sound is so plain. I love listening to music. Would highly recommend it.,0
5,"Great sound quality
  
",20.Oct.19,Yes,Sound quality is great,0
5,"Bittersweet Upgrade
  
",21.Oct.19,Yes,"I purchased my first Alexa Echo 1st Gen two years ago and I fell in love right away! It was bittersweet for me to replace it with the newer 3rd Gen but they had an amazing trade-in offer so I had to take advantage of it. First thing to note this Echo is much shorter than Gen 1 but a little wider which I prefer because it looks and fits better on my kitchen island. The new blue color is amazing if you_e considering getting it! Setting up the new Echo was the easiest most seamless process! I literally took it out of the box, plugged it in and in under a minute it set itself up and was ready to use! I didn_ have to do anything, it was already programmed with my smart lights and my WiFi, couldn_ ask for an easier setup. I love my Echo and use it every day and if you_e considering getting one, I say go for it! If I had to critique or complain about anything the only thing I could say is the wall adapter is really large since it_ still a square block like Gen 1.  This is more of a personal opinion but Gen 1 had a rotating top to turn the volume up and down (which I loved) where as Gen 3 has volume up and down buttons. Functionally they both work I just though the rotating volume top was more fun and unique, but I_l live on just fine with the buttons.",240
4,"speaker
  
",21.Oct.19,Yes,I thought I could unplug this Alexa and take the speaker anywhere in my home and play music. It turns ourt it will not play music unless it is plugged in. Does it have a battery?Field Retterer,0
5,"Perfection
  
",21.Oct.19,Yes,"Perfect, is the only word that comes to mind. the compact design is a welcomed upgrade.",1
5,"Better than the Bose Blue that the battery died in.
  
",21.Oct.19,Yes,"This Echo sounds incredible! I play all my units together, this one and two regular size Echo dots and they all seem to pick up the sound from this one. The regular Echo dots sound kind of tinny to me. Love it!",19
5,"Unexpected Rich Bass and Clarity
  
",21.Oct.19,Yes,"This one replaced my original Echo. At once, I was surprised at the improvement in sound. Definitely it's a value to buy.",1
5,"_
  
",22.Oct.19,Yes,_,0
5,"Una excelente adquisicion
  
",22.Oct.19,Yes,"He recibido mi nuevo Echo, y lo he configurado con los otros equipos, y ahora tengo un excelente ambiente musical, además de todas los beneficios anexos. Excelente adquisición",86
5,"Nice improvement over the Echo 1.  The sound has more depth and richness.
  
",22.Oct.19,Yes,The new Echo has a much deeper and richer sound than the original Echo.  It was very easy to connect with my WiFi  We switched from black to twilight Blue and prefer the new look.  Very happy.  What I would like to see is for the App to be more user friendly and intuitive.,0
5,"Sound is great
  
",23.Oct.19,No,Bought this for the boyfriends birthday. He loves Alexa more than me I think.,1
5,"Easy setup. Great sound.
  
",23.Oct.19,Yes,Easy setup.  Great sound.,1
3,"first time using this in my house
  
",23.Oct.19,Yes,"install went easy. after about a week, I notice that it would no wake up when I speak to it, had to reboot. but this was hit and miss. I also notice sometimes there will be static in the background when speaking, again this is hit and miss.other wise its ok.",3
5,"She is like a personal assistant.
  
",23.Oct.19,Yes,"The fact that I can request music.... any music, anytime makes Alexa invaluable!",1
5,"The new voice in the house!
  
",23.Oct.19,Yes,The new echo has been working well.  Fun to use and easy to setup.,1
5,"NOT dissapointed! 100% improvement
  
",24.Oct.19,Yes,"WOW!That is the first thing once i heard the sound quality coming from this new 3rd gen. Echo. A 100% improvement from 2nd gen, and there is nothing terribly wrong with the 2nd gen either, its just the took it up a few levels with the sound on this model.Now I have only had this a few hours, so if my opinion changes which it more than likely wont, or if more things I discover about the new gen. I will try to update.",1
1,"Suppose to be better then the 1st generation
  
",25.Oct.19,Yes,Don't have rechargeable battery. And the firs alexa generation had. So bad,2
