Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"A great upgrade.
  
",25.Nov.19,Yes,"Easy to get up and running. Love the current, time, weather and news information in living color",3
5,"Great product
  
",25.Nov.19,Yes,Great sound &amp; size. Just starting to play around with it. Like it so far!,5
1,"I thought it would be better
  
",25.Nov.19,Yes,"I had the echo 5 and I can't stand the ""try Alexa"" phrases at the bottom. From all the reviews I read on the 5 I wasn't the only one. I hope Amazon realized that people didn't like this. I will be returning this. At least make it a option.",648
5,"Great device.
  
",25.Nov.19,Yes,I have it in my kitchen.  Love playing music.  Used it for recipes today.,5
5,"Great Concept!!!!
  
",25.Nov.19,Yes,I love these things! Got one for my kitchen and one for the bedroom!,3
5,"So easy and so good with Ring cameras
  
",25.Nov.19,Yes,"I received my new Echo Show 8 - HD 8"" smart display with Alexa a couple hours ago. I had it unpacked and connected to my WIFI within 30 minutes. I have 3 Ring cameras, front door bell, a front &amp; back yard motion light cameras. Once I followed the steps to add Ring in the Alexa app, like 2 minutes, It was so intuitive I don't know what I did right but another 5 minutes I said Alexa show front door and she said okay and there was my front door camera on the screen. Then I said Alexa, show back which is what I named the devise ""back"" and she said okay and showed the back yard camera, same with the front successfully. I have many more smart devices the Alexa app found on my wi-fi so I'm excited to figure out how to add them.Also, now I understand the importance of naming the devices. Alexa only understands exactly what you name them in the devise list for voice commands.",365
5,"My favorite amazon device
  
",25.Nov.19,Yes,"I_ using this as my bedroom clock and replaced an old echo dot. I like how it has the sunrise feature which is also mention in the echo show 5. The screen goes dark once you turn off the lights, so you don_ have to worry about ambient light staying on. Sound quality is really good compared to an old full size echo. I plan on buying another one for my kitchen now.. Kind of hooked to having a screen now...",5
5,"It's a winner!
  
",25.Nov.19,Yes,"Over and over, in the ""most helpful"" reviews, I read about ""ads"" displaying. This does NOT ever display ads, it displays Alexa skills and things to try with your device. I read that people cannot get that to stop happening. It's right in the settings: go to: ---Home &amp; Clock--- then: ---Home Content--- then, turn off ---Discovery---, that will end the Alexa skills displaying (may cycle once after setting but then they're gone for good). I kept reading that people who want to use it as a clock were upset that the clock kept getting minimized (to left corner) to show other things. That's because, yet again, they aren't setting it up correctly. So, in the settings: go to: ---Home &amp; Clock--- then: ---Home Content--- then, turn off ---Rotate Continuously---, that will make the Home screen always display a full screen clock. You can also just turn off any content in that list. Note that each time you go into the settings, immediately after, it WILL show you a single skill or any content you left on. But that's it. It will just be a clock from then on, until you interact with it again and then it may display a single skill or that content. Once. Then back to being a full time clock.Full disclosure: I got this to use as an alarm clock and not as a primary viewing assistant. For that, I recommend the larger echo devices. I also got this on Prime Day for $50 (rather than $90). That's a screaming good deal for what is basically a voice activated, smart alarm clock with a lot of different options.Decent Alarm clocks run $30-50 anyways so I thought I'd give this device a try for $50. I should have bought 2. Even for $90, I feel like this is a great device but if you wait, it will eventually go on sale again. I don't intend to use it to watch TV shows or movies, I have TVs, tablets and PCs for that. I saw people mentioning being disappointed in the resolution or screen quality. I don't see the problem. This certainly isn't going to compare to your $300-800 smart phone screen but it's not bad looking when playing videos or displaying the clock. It's similar to say, an iPhone 3 or Galaxy S2. I feel like the people complaining are expecting ""the moon"" for the money this costs. It's $90. Not $150 or $200.There was alot of fairly bad reviews on the echo 5, but I wanted something bigger that I could use to see my ring doorbell video.  Setup was easy and got it running no problem.  Tried ""alexa show me the front door""... and nothing worked!!  No panic, went and pushed the ring doorbell and checked my phone, live video seen no problem.  OK, try Echo again ""alexa show my the front door""  Bingo!!  video displayed in about 3 sec's (i'd seen comments it was taking over 11 seconds) but that's not what I experienced.Next sound quality, tried a few songs... Wow I was not expecting much in the audio quality, but it was actually really good and as a side benefit, it displays the words of the song as it's sang, pretty cool.  Basically all the other alexa functions work as with any device, but now you also get video feedback. Ask about the weather,  get your info, plus it displays the  temp, clouds, sun, whatever...  Very happy with purchase and highly recommended!!","1,551"
4,"The Pros, Cons and Oks for the Echo Show 8 (HR).
  
",25.Nov.19,No,"Pros:__________ Very compact and simple design.  I like these designs because they can fit in all rooms. Bedroom, Kitchen, and the living room this echo can fit in any location. It has a large rubber foot that keeps it from shaking around. Big fan of the black mesh fabric that covers the back of the device. It doesn_ become a finger/dust print magnet. Extremely simple setup as you do the setup right on the screen (you don_ need to download any app). All you need is Wi-Fi and you_e basically done. You can set multiple alarms and have them repeat on various days of the week. Change the alarm tone, have the sound gradually increase to get you out of your sleep, and be able to play the music that you want. This a customized alarm system that fits anyone_ needs. To add more customization, you can make this device a picture frame. You can set a single pic or a slideshow of pics as your background. I love the privacy. To have a _hysical shutter, to block the camera, is an excellent choice. If I didn_ have this, I would, like every laptop, place some tape in order to block the viewing. It_ very quick to just slide on the shutter. In this day in age, you never know whose watching. It_ the little things, like these, that shows that Amazon knows what we want (sometimes). There is a button (next to the volume controls) on the device that will allow you to mute the mic. You can say to Alexa ""delete everything I said today"" to erase your recorded search history (The little things go a long way). Even when I block the camera shutter, I can still take calls or talk to Alexa. The light sensor goes into a nighttime display when the lights are off. Waking up at 3 to check the time was quick and painless to my eyes. The sensor is able to add the appropriate amount of light, depending on how much light is in the room. It_ similar to the auto-brightness we have on our smartphones. Has a built-in 3.5 mm audio cable which means you can plug this in your home speaker system. I didn_ find the need to test this out because it_ just plugging into another speaker. Two web browsing options, Firefox and Amazon Silk, but I recommend you stick with Firefox (Found it better in the use with this device). Like all voice commands, asking Alexa for the weather, make a call, play music, turn on a light (a smart light), and so forth does its job, most of the time (will go into details in the Con section). Software-wise, I do appreciate that on the screen, if you hit the smart home button, organizes what devices you use frequently. I found this very useful to see what smart devices I use the most (what a shocker that it was the smart lights in my house.) It is useful if you need to quickly turn a specific smart device off. If you have a thermostat smart device, one cool feature is changing the temperature with the Show 8. I ask Alexa to change the temperature of my thermostat and a slider pops up on the screen, allowing me too automatically to tweak the temperature further. There is also a button, on the device menu, to turn off everything connected to the Show. The voice calls come through the Alexa app or through Skype. Does have Bluetooth. As Sheldon Cooper wisely once said, _verything is better with Bluetooth._ The microphone picks up my voice very quickly. This is having the TV on average person volume level and, probably, 20 feet away. The screen is actually viewable. Having seen the Echo 5 in the past, The Show 8 screen is a huge improvement in viewing videos or getting a glance for quick info (weather, news highlights, time, etc.). With smart screen layout, I can see this fit for security cams and baby monitors. I have a Ring camera on my door, and this works like a charm if I need to see who at the door. Saying _lexa, start my day. Is a pretty cool experience if you spend the time customizing what you want to see and hear, from Alexa, when getting out of bed, You can have a very modern morning cycle. Taking and receiving phone calls is a real breeze. I here no static or break in communication when talking to my colleague. Note that I didn_ try WIFI calling international. To summarize, you have 4 ways of communication: Message, Call, Drop-In, and Announce. When playing Foo Fighters, the Show 8 does display the lyric alongside the song it_ playing, _he Pretenders. One word for this, Karaoke! Good speakers for music coming in the Show 5. It_ loud, which was a little surprising, given the size. Not enough for a house party, but enough for study or cooking time.Cons and Oks:__________ You can_ watch YouTube videos by using Alexa_ voice command. You have to physically go and type it in the web browser. Google owns YouTube and as of 2019, Amazon and Google are not the best in merging software. A major buzzkill because learning how to do something is what YouTube is made for. Instead of YouTube, Alexa will bring you to Wiki videos. They_e very basic, not a significant amount in video inventory, and I was only able to access the intro videos. I wanted to know how to bake cookies and I needed to go to the screen and touch the next video for it to play. Wiki videos don_ give you the opportunity to cook _inging with Babish videos. Beware of the advertisement for watching movies and shows. Amazon loves cutting 30% of the screen with advertisements. You need to be prepared for this experience because this is not going away. Unlike Google_ Nest Hub, when you speak to Alexa, the device will not show you what you said. Alexa has messed up in what I said, yet I don_ know which word that caused the miscommunication. I want to mention this again, NO SUPPORT FOR ANY GOOGLE SERVICES. To be honest, Google owns the internet (Photos, Drives, Nest Cameras, YouTube, etc.) and with this device, all the basic searches/videos you want require additional steps. Want mapping directions to go to a place around your city? Stick to google maps on your smartphone because Alexa doesn_ do this. The camera isn_ anything to brag about. It doesn_ have any advance HDR features, but then again it_ only for video calls. Web typing on this is miserable. I just stick to my phone if I need to search for something really quick. The bezel around the screen makes everything look smaller than it is. Its screen size does help reduce the feeling. No real apps are useful, given the size. Alexa is no Google Assistant. You have to speak in a specific syntax in order for Alexa to do what you want it to do. With simple demands, Alexa works like a charm. It_ when you start asking random questions that Alexa will say _orry, I_ not sure about that, or something similar. Example: I said ""Alexa, show me dog videos"" and nothing happens but saying _lexa, open Prime Video, it opens right away. Very specific on what you need to say. No USB port to charge your phone. This Show, to me, is more for public viewing, the center of attention. A USB port would_e been great not only to charge your phone, but to input pictures, videos, and even recipes into the Show. When you start getting used to the Show 8, turn off Alexa tips. Having that feature on will clutter the screen by default. You have a small screen and yet the Show 8 wants to put as much as it can on it. When streaming music from my iPhone to the Show 8 (using Bluetooth) the music isn_ clear as it_ plagued with Bluetooth artifacts. I have to assume this is a software issue, so it may be resolved in the near future updates. Still, I think you should know. There is some lag on the touch screen. Tapping on a back button I have to wait 2-3 seconds before it follows with my request. Want to move it around, you need to pay for the viewing angle attachment because you can_ adjust viewing angles without it. The screen maybe a little too bright when it_ dark in the room. The Show 8 doesn_ have any Dolby features, which makes the volume for music loud, but not clear. Playing acoustic songs are fine but playing anything other complex songs (Foo Fighters, Lady Gaga) distorts the quality of the song. There are a lot of steps to just do a simple task. I wanted to pick my preferred source images and had to go through Settings, Home &amp; Clock, Clock, and finally to Personal Photos. A lot of steps for such a simple task.Bottom Line:__________Of the Echo Show and Echo Show 5, this is the best one out on the market. The two things that make this the best between the three is the screen and the privacy layout. The screen is large enough that watching videos wasn_ a hazel, and the manual buttons for privacy are a must in this day in age. It_ a very nice design and I see this as something you will have in the kitchen of all places.The Show 8 does a lot of decent work, but it also has numerous other features that it isn_ the best at due to software issues. The resolution isn_ mind-blowing, as it_ something to either play music, or even a movie, in the background while you work. This is no replacement for a screen to watch for 2 hours as it_ more for a quick 5 minutes here and there. This is why I see this for the kitchen as it_ a great place to follow cooking videos. Anywhere else I feel it would not be put into use enough to be worth the cost.Also, I advise everyone to take a look at the Google Nest Hub, Lenovo and the rest of the Echo Show smart system. The truth is, for a universal home smart system, this isn_ it. The Google Nest_ software is top of the line in communication and user interface. The Show 8_ main highlights are privacy, video calls, smart house function, and the price. With the price you_e getting it_ a nice system to screen ratio, but if you_e not fully on board in the Amazon world you_l be restricted in so many ways that sometimes it_l be quicker to just take out your smartphone.Overall: The best of the three Echo_, but most useful in the kitchen or at your desk.",86
5,"For the whole family
  
",25.Nov.19,Yes,"Set it up today. It set itself up in mins. Music sounds great. 9th echo device in our home. Setup a device group and play music everywhere. Works great with ring as well since we have no peephole in the door.  Made a custom album on Amazon photos, added as wallpaper. Placed it kitchen.",21
