Rating,Title,Date,Verified Purchase,Body,Helpful Votes
1,"Cracked and does not turn on.
  
",7.Nov.18,Yes,The screen was cracked and the phone did not turn in after 24 hours of charging.,130
5,"Nice phone. Worked as advertised.
  
",25.Nov.18,Yes,Facial recognition doesn_ work in the dark.,0
1,"Not a Refurbished Iphone
  
",26.Nov.18,Yes,"It is not a Refurbished iphone, it is activated",126
4,"Pretty much as expected. Positive experience so far.
  
",2.Jan.19,Yes,"This review is for the phone, but considering how it was bought from this Amazon seller.I was a bit weary to buy, given the varying reviews. It arrived in a white, unmarked box as expected as a renewed/refurbished product. Came with an offbrand charger, but no headphones.The description said, by definition, it would have minimal to no scratches. There is one 3/8 to 1/2 scratch near the front camera on the screen that goes into the functional screen area. It_ not terrible, but I would consider it a little more severe than minimal.Battery health was said to be about 80% if I remember correctly. Battery health as received was 96%, which I was happy about.Everything else, a few days in, seem to be on par with a new phone. I will update this review with any shortfalls or unanticipted failures going forward.",329
5,"Beautiful phone
  
",4.Jan.19,Yes,The phone arrived three day early. This phone is beautiful and flawless. Battery life is more than I expected. Phone works perfectly. I had to contact customer service through email and they responded to my questions immediately.,4
1,"Don't buy from this seller.
  
",8.Jan.19,Yes,"This product is falsely labeled as unlocked, it's been 4 weeks since I informed that the phone was still locked and all I get are excuses.Plus, the phone came in a really bad condition, so many scratches you can see them very clearly.",102
1,"Not refurbished!
  
",9.Jan.19,Yes,"Super disappointed when I got this phone. I rarely leave reviews but when I opened this phone I was aggravated. Screen has scratches and the outside edges of the phone are dirty. This is clearly not a refurbished phone, so it should not be advertised as such. Now I have to wait for another one which is even more aggravating!",241
4,"Overall phone review
  
",10.Jan.19,Yes,"This is a refurbished iPhone X. The box is from Verizon company that comes with only the charger and the phone. Doesn_ have a pin to eject the SIM card nor earphones. The screen is a bit scratched but that_ to be expected since it_ refurbished. The box also said that it_ a pre owned. So the assumption is that someone turned in the phone for an upgrade. The battery health is at 99%. Today is the first day I_ using it so don_ really know how long the battery will last me. I ordered a screen protector so maybe that_l blocker the scratch a bit. We shall see. Overall, it_ a cheap iPhone X with 256 GB. I have T-Mobile and the SIM card works. Not a bad deal at all.",73
5,"Best Value!
  
",18.Jan.19,Yes,"The best decision I_e made buying a phone. Phone is in PERFECT condition. Battery condition is at 98%! Best value for the price, much cheaper than buying a new phone directly from Verizon brand new. Will absolutely buy me next phone from Verizon Pre-Owned.",0
5,"Very good and seems Brand New
  
",22.Jan.19,Yes,"Good Deal, Buyspry customers service is amazing and they really helpful.",1
5,"Great phone
  
",3.Feb.19,Yes,Great phone no problems at all great price the phone is like new,0
5,"Very satisfied!
  
",5.Feb.19,Yes,"My iPhone X was delivered in what I believe to be near perfect condition. Very light scratch on the face of the screen, however it disappeared after installing a tempered glass screen protector. Powered on just fine and is fully compatible with my at&amp;t SIM card. The iPhone came with 89% of it_ original factory battery health which is more than advertised for this refurbished product (battery health can be found in settings). With the iPhone X I also received both an apple brand power cable and wall adapter (I got lucky). My apple AirPods and apple watch (both sold separately) paired to this devise without any issues.Overall: I received my product exactly as advertised which makes me very satisfied. Other reviewers complain about things outside of the sellers control such as the lack of a headphone jack and the new gesture controls used in place of the retired _ome button. The learning curve felt easy and natural. Potential buyers should look into the features of the phone before buying this product new OR refurbished. 5/5 stars highly recommended.",90
5,"yes
  
",7.Feb.19,Yes,"Very good, the seller presented a charging device",0
3,"Price is higher
  
",10.Feb.19,Yes,Price is high as It didn_ have original charger. Also it doesn_ have ear phones at all.,0
5,"So your_e not sure? Be sure. Here_ why.
  
",14.Feb.19,Yes,"This IPhone X has been phenomenal. The speed at which it operates is Incredible. If you are questioning this buy, don_. It_ a wonderful deal. I_e not had one issue thus far, and will most certainly update this review if I have one within the warranty period. I recommend getting a tempered glass screen and a good case_his phone is glass front and back.",107
5,"Looks brand new!
  
",23.Feb.19,Yes,This phone came sooner than expected looks brand new and it performs exactly as expected!,0
4,"Nice Phone
  
",3.Mar.19,Yes,The phone came early but it was clearly used with all the scratches. I enjoy the phone though and it was easy to transfer over to.,0
1,"Scratch on the screen
  
",4.Mar.19,Yes,There is a long scratch on the screen. The seller did not mention it.,1
5,"No problems
  
",12.Mar.19,Yes,The phone is as advertised. Very happy with the phone. It works as expected. Shipping was very quick,1
3,"Back camera
  
",13.Mar.19,Yes,Back camera fuzzy,0
5,"Worth It
  
",15.Mar.19,Yes,Really Appreciate Absolutely no problems with the phone,0
4,"Worth it for the price
  
",6.Apr.19,Yes,It_ not as expensive as the original,0
5,"Great stuff
  
",17.Apr.19,Yes,"Great stuff, the device very smooth no scratches at all_",0
3,"Renewed with aftermarket parts. I believe so
  
",17.Apr.19,Yes,"Package came with it some random box. Do note this is not from apple.For my unit, I believe the previous owner dropped it and broke the screen. I have reasons to believe my screen is not authentic. It_ easily scratch.I notice small dent marks on the bottom &amp; at the back of the phone.Battery health is 88% for mine which is sort of disappointing.Take note:-Phone is definitely used-Battery health is not within 90%-small dents-easily scratch on screen-it_ probably not water resistant anymore, if they actually replaced the screen.-no original cable or adapterOverall, it works fine. But I just want to put this out there so some of you will consider it before purchasing it. For the price is honestly ok.",1
1,"Possibility to change the phone?
  
",20.Apr.19,Yes,I bought this phone and this is my first picture with the back camera and also when Im tapping look like multitouch. There is any possibility to change the phone?,106
5,"came in perfect like new condition
  
",23.Apr.19,Yes,Phone has looked and acted like NEW since day one. Was definitely a risk buying something so expensive refurbished but it absolutely worked out this time. If all the refurbished phones come like this I HIGHLY recommend taking advantage of the $400 difference from a new Iphone X 265GB.,1
1,"I requested a silver one for my wife and received a gray.
  
",14.May.19,Yes,I requested a silver one and got a gray one. Extremely disappointed as nobody reviewed the product and compared it with my original order,2
2,"Disappointed
  
",16.May.19,Yes,"Comes with very visible scratches at the front and the sides. As much as I hate to write a negative review, but I had no choice. Had ordered this for my brother on his birthday expecting it to at least have some minor scratches, but got to see it is full of scratches on the front and sides, I've bought renewed phones before but never faced a situation like this. Very dissatisfied.",148
1,"Defective
  
",22.May.19,Yes,Received a defective phone - the screen was unresponsive for long stretches of time. They definitely didn_ test the phone before they sent it to me.,2
5,"Portabilidad Ecuador
  
",29.May.19,Yes,"Esta desbloqueado para Ecuador, me llego muy bien el producto",0
5,"Perfect phone
  
",29.May.19,Yes,Perfect phone! And works well too! ��__� I don_ know what the others are talking about,0
5,"Excellent purchase
  
",29.May.19,Yes,We are very happy with our new iPhoneX.  Excellent purchase.,0
5,"Its worth the price
  
",30.May.19,Yes,"It was awesome, came in good condition n at the perfect time..",0
3,"No accessories but a charger
  
",1.Jun.19,Yes,Would be 5 stars if they didn_ only give me a charger with an iPhone X!! No headphones equipped to work on this phone or an adapter to use!!!! Very frustrating!! Also came in a generic box!!,0
5,"And for the money ...I am totally happy with this iPhone X
  
",2.Jun.19,Yes,"The IPhone X 256 I received works perfectly. 90% battery health.  Looks brand new, no scratches or wear of used that I could see. Came with a screen protector. And for the money ...I am totally happy with this iPhone X.I was under the impression that fully unlocked meant that it could be used with any carriers (Tmobile,att&amp;t GSM carriers and  Verizon, Sprint CDMA carriers. But my IPhone X that I received according to the model number only works with GSM carriers. So if your looking for a fully unlocked iPhone for all Carriers I would recommend contacting the seller to make sure you are receiving the fully unlocked iPhone X.",2
