Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Must buy
  
",9.Jun.19,Yes,This phone looks brand new! No scratches or knicks. Came with original charger but no headphones but for the price you can_ beat it!,2
5,"Beautiful phone
  
",11.Jun.19,Yes,"My red iPhone XR came in perfect working condition, fully unlocked, and 100% battery life. I have only had it for a few hours and I_ in love. Thank you!!",2
4,"Great buy
  
",18.Jun.19,Yes,Great phone no scratches no damages it was practically new out the box and it shipped fast. Great buy!,1
5,"Great product
  
",20.Jun.19,Yes,"Works great, looks new as if it came straight from. Apple",0
5,"Excellent phone.
  
",21.Jun.19,Yes,My phone came just as described my son is so happy .Thank you,0
4,"Less impressive than the hype
  
",22.Jun.19,Yes,No port for head phones!,0
5,"No headphones
  
",26.Jun.19,Yes,As brand new,0
5,"excellent phone work on every carrier
  
",28.Jun.19,Yes,"bought it for my mother as a gift, she loves it",0
5,"Love it
  
",30.Jun.19,Yes,I love my new IPhone XR it_ perfect,0
5,"Great product worth the money
  
",6.Jul.19,Yes,Shipping was a hassle,2
2,"Lots of problems!
  
",9.Jul.19,Yes,"Missing accessories inside the box as a refurbished one, dropping calls all the time and lots of other issues!",0
5,"Great iPhone XR
  
",12.Jul.19,Yes,"Looks like new, no scratches anywhere, shiny, and powered right up.  Quick switch with my cell provider SIM... Will buy again from this seller.",1
5,,12.Jul.19,Yes,Muy bonito y práctico buena resolución. buenas fotos y videos .,4
3,"No SIM Card
  
",12.Jul.19,Yes,"No SIM Card, or ear pods, I did not see that in the description of the product. Phone looked brand new when I unboxed",5
5,"It_ not a scam
  
",14.Jul.19,Yes,The phone came fully unlocked and functioning. I_e had I for about a month now and have had no problems with it.,0
1,"Not fully unlocked as it says
  
",15.Jul.19,Yes,"It said fully unlocked but then further down the page after comparisons when it says product description, you find it is NOT FULLY UNLOCKED! Not compatible with verizon which is what I have",1
1,"Lots of issues.
  
",15.Jul.19,Yes,This devices and not even wiped. Still had stuff from previous user.,3
5,"100% battery life phone (probably replaced), like new condition, saved 33% over going to apple.
  
",16.Jul.19,Yes,"If you read the headline, that says it all.",0
5,"Maddie
  
",17.Jul.19,Yes,I loved how it came in perfect condition,0
5,"perfect!
  
",18.Jul.19,Yes,everything was amazing,0
5,"Works great looks new
  
",19.Jul.19,Yes,Works great looks new,0
5,"I want to know
  
",20.Jul.19,Yes,For this phone why you use different cover,0
5,"Buy if you only really care about getting the phone
  
",23.Jul.19,Yes,Didn_ come in original packaging or with headphones but the phone had no scratches or scuffs on it and it came with a charger.,1
