Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Great phone at an affordable price.
  
",17.May.19,No,"Takes awesome pictures.  Great battery life.  Screen isn't as nice as my wife's OnePlus 6T, but good enough given the price difference.",6
5,"ATT WiFi calling works
  
",18.May.19,No,"I can confirm that unlike many unlocked phones, the Pixel 3a XL works fine on my ATT account with Wifi calling enabled.",14
1,"Microphone Didn't Work on Brand New Phone
  
",5.Jun.19,No,"I own 3 Google Mini's, a Google Home, and a Chrome-cast, and had just signed up for Google-Fi, so I figured it was time to have a Google phone.It arrived 6/3 and the microphone stopped working 6/4 and am having it refunded on 6/5.I got called from a potential employer twice and they couldn't hear me. They wasted 7 hours of my time.Purchased from the Google store.I had 6 interactions where Google couldn't identify the problem before saying it'd take 2-7 days to ship a replacement.I asked if they could simply overnight it, or give me a two year warranty, or literally anything since they are selling faulty phones. Long story short, it's their 3rd generation of phones and they still can't get it right, and they don't even want to try. I've been Google loyal for 7 years and after they delivered a faulty phone and didn't want to make it right, I'm switching to Apple.",16
5,"Very nice phone, but needs a better pricing plan
  
",6.Jun.19,No,"This is a very nice phone with lots of features.  Most notable is the quality camera that is used and the flat screen rather than the curved screen on Samsung phones.  Also notable is that you are getting pure android and not someone's proprietary apps and bloat.  One negative is that it is not the latest greatest processor but rather a upper middle of the road one.  The other negatives is the high price to get it unlocked if not activating with a carrier.  Why should it cost a hundred dollars more without activation, especially when several places were offering pre-sale gift cards worth 100 dollars.  I put the item in my cart which included a 100 Amazon gift card, but when I went to purchase it indicated that the gift-card offer was no longer available.  If they sold this for $379 it would be well worth the money but no way is it a $479 (almost 500 phone).",6
5,"Exactly what I wanted, amazing phone, especially camera
  
",11.Jun.19,Yes,I wouldn't hesitate on getting it especially if you haven't upgraded in 2years+,3
5,"Pixel 3A
  
",11.Jun.19,Yes,So excited about this phone.,3
5,"best phone I ever owned
  
",13.Jun.19,No,"I always bought phones in the 200-300 range and of course it showed, there is usually a lack of quality, the camera is mediocre and some of the cool functions are not included. I'm glad I found the Pixel 3a, this is the best phone in the mid-range price out there. I know it is slightly more than my past range, but I finally wanted a phone that does more, but doesn't cost an arm and a leg. I read tons of reviews and watched several videos to make sure I'm not wasting my money (it's still a huge junk of change for me). I can say with delight, this phone is amazing.Pros:- The camera is wonderful, it makes great pictures in low light, at night and has so many filters and options... I can't say enough how awesome the camera is.- The battery life is amazing, my phone only lasted through the day if I didn't do anything. This phone lasts all day even with some gaming (1-2h).- Basic Android with minimal bloatware- I was able to transfer almost all my data with no issues or hick-ups- There is a headphone jack - wahooo (I guess I'm old school,  but I like it)- I love the fast charging option, never had it before and it is great getting 70% in 20min- Super light and compact, I do appreciate the size and that this phone is smaller than my oldCons:- no wireless chargingI can't say much about material, the material seems to be the same as all my old phones. My friend with an Iphone of course pointed out that it looks cheap, but really.... I don't know anything else, so I don't care. I would totally buy it again and my husband is looking forward to getting one too. Thumbs up!",3
5,"No need to spend a $1000 bucks. This is a game changer.
  
",15.Jun.19,Yes,"Careful when buying these, mine was not Verizon compatible and had to return it even though the seller said it was. ""Completely unlocked"" does not mean it will work on US carriers. As far as the phone goes it's hands down the best $400 phone  on the market in 2019. The camera is amazing, battery life great and form factor perfect. As long as you get it here or from the manufacturer and not your carrier it comes with guaranteed three years of support. It's also easy to work on if it breaks.",4
5,"Best phone for the $, period!
  
",18.Jun.19,No,"The screen, camera, and battery life alone make this phone a solid value for it's price. That doesn't even get a list of this device's pros started. It's built and maintained by Google with guaranteed updates for three-years. There is hardly a noticeable difference between I and it's pricier sibling and if you have the Google branded case applied, anyone on the street would be hard-pressed to tell the two apart based on aesthetics alone. Once you pick it up, there still is not a notable difference in day to day use, or speed doing all the phone things that phones do. This device might be a hair slower to process certain tasks, but not enough to discount it's nearly halved price tag.Before this phone I used the Moto G7, and while a great feeling phone, I chose to keep the pixel 3a as my daily driver and have the G7 to a family member who now also has one of the top budget phones. The G7 just doesn't have that Pixel wow, that kept me picking it up over the latter.Hopefully Google will continue this trend with a Pixel 4a, if I can keep from picking up the Pixel 4 after rejoining the Pixel family after the Nexus program began to flop miserably. This 3a though, is reminiscent of the Nexus glory days of the Nexus 4 and 5x.",3
5,"More for your money
  
",19.Jun.19,Yes,"This phone is great, no complaints. The camera is unbelievable and the night vision pictures are really nice. Runs pure android as you would expect from a Google branded phone. There are plenty of reviews on this phone on the internet, so I won't get into super detail, but you can't go wrong with this phone.",5
