Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Sorry I bought the S 10+ missed this
  
",25.Aug.19,No,"Excellent, Beautiful, great features. is this 5G I want a 5G Samsung",2
3,"Camera(s) subpar
  
",26.Aug.19,No,"Beware! The camera is pitiful. It's size is great for editing if you like to play around with photos or draw, make notes, (will work great for my husband's concrete business, you can record video while drawing notations [e.g. floorplans/designs])...but if you enjoy using your phone to take extensive photos, avoid this phone. It struggles to capture good detail. My S5 almost did better. Night mode isn't bad, panorama is cool, but I spent 1,300 on the 5G + version &amp; I am highly disappointed in the camera. Taking outdoor photos, it would blur, pixelate, and simply jumble detail throughout the photo...also had a major issue with depth of field in some shots. These I posted are a few of the best shots I got.On a side note, the Aurora color/silver phone is beautiful, ended up with a white because I orginally returned the first one that I thought had a camera defect. It's that bad.UPDATE: I have discovered it's some HEIC software/engineering in the phone ...apparently apple has done this bs for a while! It's supposed to reduce file size while retaining quality...well it doesn't work!! You can say save in RAW/JPEG format, but it still processes smaller than my S5 did (around 2-2.5MB) simply put: poor quality! However, the bones of the camera(s) itself are good...so I'm hoping a different camera app or even a software update is released later on where people can use the camera to it's full potential!!!",18
1,"Commercial fraud
  
",31.Aug.19,Yes,This version not dual sim but 4G version should come Dual SimWow even samsung Cheating uswhat I can say I am the stupid who left Apple to come to samsung,16
5,"Overpriced
  
",3.Sep.19,Yes,Great phone. Love the Note 10+ because of the stylus.  Won't buy anything but the Samsung Nore phones.,1
5,"Fantastic phone.
  
",10.Sep.19,Yes,Absolutely love it. Just wish I had preordered it from Verizon instead. Gave me quite the run around on delivery.,1
3,"Design flaw -pen holder
  
",11.Sep.19,No,This device has a design flaw where the pens are following out randomly.  Walked around with the phone for a day and lost the pen without even using.  Samsung will help.  Blames people for the pen.,3
5,"Beast
  
",15.Sep.19,Yes,The phone that does all..,0
4,"Good Phone Coming from an S7... Note 10 Plus Charging Issues
  
",17.Sep.19,Yes,"Waited a long time for a Samsung phone with a Snapdragon 855 (Yes I know the S10, but coming from an S7 want something different). I don't just buy new phones when they come out, I wait until they are much faster and more efficient. Snapdragon 820 14nm chip, 845=10nm, 855=7nm.Pros: AMOLED, Snapdragon 855, 256-512GB Storage, 12GB Ram (Sorry Apple), Wireless AX (aka wifi6)Cons: Weak Charging Detected on Qualcomm Quick Charge 3.0 @ 80+ percent and will start to discharge your phone while using apps like Google Maps or YouTube. **I used a type A to C USB 3.0 with 56k resistor for charging. Used different QC 3.0 chargers and cables to make sure it was not the accessories. Your finger has to be exactly were the sensor is to unlock the phone. I would prefer it to unlock wherever I place my finger. No Aux (minor, but still useful in my opinion).FYIIf you want full charging capabilities of this phone you need a Power Delivery 3.0 with PPS and a USB type c to c ""e-marker"" cable. **Type c to c does not have a 56k resistors, make sure you get a e-marker cable for USB compliant and safety. To future proof get a USB 3.1 type C to C gen 2. This will support 100w charging and transfer speed of 10Gbps. Not any PD 3.0 Charger will do, you NEED a PD 3.0 with PPS that supports charging @ 10v/4.5a = 45 watts. No the Note 10 Plus will not charge @ 15v/3a standard as of 09/17/2019 (currently none on the market except official, waste of money unless you want to charge from 0-100 in ~30-40min). Once you go OLED screen it is difficult to go back to TN or IPS LCDs. Just make sure you don't set your phone to stay idle for a long time before it unlocks because OLEDs can ""burn in"" similar to plasma tvs. Wireless AX is the new wireless N, better speed and range. AC is speed only, no range.To SamsungI am not sure it is hardware, but if it is software. Please give us a firmware update that allows standard fast charging voltages.",16
4,"Great
  
",19.Sep.19,Yes,Great loved the phone,0
1,"phone is not what it seems
  
",23.Sep.19,Yes,"first, the transfer of information from old phone to new phone was unclear as you have to connect to WiFi to do so, except you have to connect to the other phones WiFi. poor instructions there. spent an hour trying to do this until i realized Samsung just doesn't tell you what needs to be done. next, the mail, text messaging, and contacts is kinda confusing. i suppose if you use it long enough you'll get used to it but it really is a terrible system.........it seems each manufacture has a way of making life hard on you. just like us mail, there should be a common way to deliver don't you think? brand a is not better then brand b etc..... i also didnot like the fact that a lot of USB devices are not supported such as microphones and such. great, i can pair an x box controller to it, except i don't use x box or PlayStation. i use pc for gaming. i do use a lot of multi track recording apps though. so if tou like on site recording this aint for you. ok so great, it has a stylus. i can draw and paint which i do in real life. lets face it, this is for people who aspire and not anyone who would take it seriously. good idea though. thing is, now a days most phone manufactures are headed this direction which makes this kinda unnecessary.  i can speak in to most phone and it translates text better. i do like being able to write notes in hand writing and using a pencil, but for the future this just isn't logical or needed considering kids in school don't even need to learn to think anymore if you can grasp the future of education. this phone really doesn't have anything special to offer. its a 1000$ phone just like all the others and does all the same things all everything else on the market. big screen big deal, Cary your laptop if you need a big screen.  do your self a favor, a smaller phone will do everything this does and for less money. dont be a victim of marketing and get the latest greatest bs out ther. you can even get a used phone with a new battery for half the price of this garbage. lat, amazons return and refunds take for ever. once they have your money they send you through hoops and make you wait for any results. this is the second time i have had to deal with a refund like this and the last time i was repeatedly lied to just keep me in check while they took their time. terrible policies and wait times including the automated phone system. redundant questions in an attempt to route your call that just goes to a general customer service rep that asked all the same question all over gain and then goes through a scripted response that left me feeling more or less like a tool and number. nothing personal here, just makes you feel like a robot. thanks for another under par experience amazon. you've ruined my Seattle neighborhood and rent, parking, and food costs have gone through the roof while i struggle to pay for a phone that isn't even worth it.",32
