Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Besttttt
  
",7.Apr.19,Yes,"There's no dislike, the hope punch is barely noticeable... The feel of it is awesome... Get a case lol one that compliments the design.",0
5,"Excelente
  
",11.Apr.19,Yes,Excelente  recomiendo al vendedor,3
5,"Todo perfecto
  
",16.Apr.19,Yes,Todo perfecto,3
5,"Excellent
  
",22.Apr.19,Yes,Excellent,5
5,"Verzion Sims DO Work on this phone
  
",7.May.19,Yes,I'm glad that Verizon finally going to shut down their CDMA bands to expand their lte bands. I'm on red pocket mobile with Verizon towers and using volte with no problem.,4
5,"Nice phone good price
  
",25.May.19,Yes,It has a great look and the cameras amazing!!,0
3,"From a light fall, screen was crashed in tow points
  
",5.Jun.19,Yes,"Too fragile, a 1 feet fall  and screen crashed",1
1,"CON JOB
  
",7.Jun.19,Yes,THIS PHONE DOES NOT WORK ON VERIZON,5
5,"Bueno
  
",8.Jun.19,Yes,Bueno,0
5,"You won't be disappointed
  
",12.Jun.19,Yes,Awesome phone for an awesome price.,2
5,"After two months phone is working just fine
  
",18.Jun.19,Yes,I've had it for a little over a month and so far it's working just fine. I'm using it for dual Sims but you can't add memory if you're using two Sims. Also some limitations but very minor when using dual Sims. Other than that performance has been as expected,0
5,"Perfecto
  
",29.Jun.19,Yes,Hermoso,0
5,"Excelente....me llego antes de la fecha prevista
  
",30.Jun.19,Yes,Lo compre y me salio super bien buena compra... y me llego antes de la fechaExcelente compra,4
5,"Excellent
  
",7.Jul.19,Yes,"Fast, beautiful and solid. This phone works perfectly and is the perfect match for a Samsung smart home",0
5,"Great buy
  
",11.Jul.19,Yes,Worked as expected,0
4,"Smart phone
  
",12.Jul.19,Yes,So far so good. No problems with the product.,0
5,"Awesome
  
",29.Jul.19,Yes,Gift,0
1,"No es liberado
  
",31.Jul.19,Yes,"Hola yo ordene este telefono porque decia que era desbloquiado y que funcionaba con cualquier compañía, y cuando lo ordene page mas para que llegará mas pronto. Cando llego resultó que no funcionaba con Verizon y que si uno lo quería usar con Verizon que no  abriera el telefono y que lo regresara lo mas antes posible, y no nadamas eso si no despues de aver pagado para que llegara mas rapido todavía llego tarde. Si no funciona con Verizon emtonces porque le pinen que es liberado cuando en realidad no lo es.",2
5,"I love it
  
",5.Aug.19,Yes,"Elegant, good item",0
1,"Check with your carrier
  
",16.Aug.19,Yes,Not compatible with my carrier. Description lacked critical details for buyers to make an informed decision,1
4,"Charging problem
  
",17.Aug.19,Yes,I love this phone but it loses a star because mine is a massive pain in the ass to charge for some reason when I plug it in of the cable is not in just right it acts like your unplugging it and plugging it back in alot and it's really annoying,0
5,"Samsung Galaxy S10 128GB+8GB RAM SM-G973F/DS Dual
  
",21.Aug.19,Yes,Two words: LOVE IT!!!!!!  It replaced my galaxy s7 Dual from the same company I purchased it.  I used it all over the world and the s10 will carry the s7 legacy and see the world as well.  Thanks,0
5,"Iffy service in Alaska
  
",23.Aug.19,Yes,"I really like this phones battery life compared to my S7. The oly problem that I've had so far is that my service is all over the place. I live in Alaska with At&amp;t, so it shouldn't be a problem, but I frequently have no bars at my house.The phone comes with AMAZING headphones. I am an audiophile, so this was 0robably the best part of the purchase for me.",0
1,"Not a new phone
  
",4.Sep.19,Yes,"The phone I received was not brand new.  It's covered in fingerprints, and the sticker on the box had clearly been replaced.",1
5,"No se frisa la pantalla
  
",12.Sep.19,Yes,Me agrado el color,0
5,"Beautiful phome
  
",6.Oct.19,Yes,Beautiful phone I am so Happy it was from Dubai. Makes it easier to use. For me.,0
5,"I love it
  
",15.Oct.19,Yes,Very good,0
5,"It is very fast
  
",27.Oct.19,Yes,"Hey, I like so much the celphone, is wonderful ! is very very fast, the camera are very good and it is incredible sound! They battery la ok but can be better",0
5,"I'm very happy with it.
  
",1.Nov.19,Yes,Excellent cellphone. Has its quirks like most of electronic products. Cannot totally blame the phone as user error is sometimes to blame as well. Great price &amp; performance. I'm very happy with it.,0
4,"Pretty good
  
",16.Nov.19,Yes,It don't got the best battery life otherwise great phone,0
5,"In love with this phone!
  
",18.Nov.19,Yes,This phone delivers. Nice screen. Lots of space. Good battery life. Wonderful features I didnt even know  I wanted. Love the fingerprint reader although sometimes it gives me a hard time.,0
5,"Potente
  
",20.Nov.19,Yes,"Excelente producto, muy buena velocidad. _ptima performance",0
5,"Brand Spankin' New and Costs as Much as a Refurb? Winner!
  
",20.Nov.19,Yes,"Overall super happy with the phone. I'd had either lost or had my S9+ stolen on a 24 hour YOLO bachelor party and was in need of a replacement. At first was looking into a refreshed S9+ but then was like wtf, why not just look into an S10. Specs looked great and phone was sexy as hell. S10 was pretty much as big the old S9+ but lighter. Saved even more buying the International version vs a refurb one from the States. Everything works great. Most people wouldn't know or care about the difference in chip performance. Get this Internation version!",0
5,"Best smartphone I've ever owned!
  
",3.Dec.19,Yes,Best phone I've ever owned. The screen cllours are bright and vibrant and the camera is incredible. Highly recommend!,0
5,"Works with Verizon but...
  
",12.Dec.19,Yes,Works for Verizon with some cons. Had some issues with MMS/picture/group texts.Works with AT&amp;T no problem.,0
3,"Not special at all.
  
",18.Dec.19,Yes,"I should have bought an iphone. Theres nothing different from the 7, so very disappointed I wasted my money. The fingerprint does not work with a screen protector and I'm not going to not have a screen protector on it. The facial recognition for a female is horrible. If I dont have my makeup on, it wont recognize my face. If I have my hair pulled back, it wont recognize my face. I hate it. There's nothing special about this phone and I dont like the curved screen because my screen protector wont stay on.",0
5,"Best seller
  
",19.Dec.19,Yes,"Fantastic buy,love this phone and love the biyer for selling me a fantastic phone,works and looks like brand new",0
5,"Ok
  
",22.Dec.19,Yes,Conforme con el producto,0
5,"Me llegó todo bien
  
",4.Jan.20,Yes,"El teléfono Llego bien, yo ocupaba ambos sim card y también la micro sd pero no viene para poder usar los 3 al mismo tiempo, pero de ahí en fuera el equipo funciona bien a mi me encanto excepto por la batería porque siento que no dura un tiempo justo",0
5,"Lo que dije anteriormente
  
",5.Jan.20,Yes,"Me agrada el diseño, la rapidez en los cambios de pantalla. Indudablemente Samsung is The Best!!!!",0
