Rating,Title,Date,Verified Purchase,Body,Helpful Votes
1,"Sounds great but connection is a true nightmare
  
",12.Mar.19,Yes,The sound is amazing. So much better than my Echo speaker (obviously.)The connection gets worse each day. I never had any problem with a device staying connected to my network so I_ not sure If I got a defective one but I_ about 2 days from returning this. The sonos app is terrible. I wrote to them for help which is my last try before returning. This speaker won_ stay connected and then the process to get it reconnected only works if I unplug it and connect it directly to the router. If you are planning on keeping it right next to your router maybe it would be tolerable to constantly go through this?Alexa is slower to respond on this device as well.,117
5,"Quality Speakers!
  
",13.Mar.19,Yes,"Update:I_e loved this speaker since I purchased it. I haven_ experienced connection issues like others.My experience has improved ten fold with Google Assistant. Alexa sometimes needed a reboot after voice went offline. Not once with GA. I have both Alexa and GA powering my setup. Best of both worlds.I can't compare this to the 1st generation Sonos One, but I know it now has BLE and a faster processor. The sound is clear. I also have multiple Play One speakers... Not a big difference in sound.My purpose in buying was the ability to use AirPlay. Playing music from a wider collection. Not locked into a specific app when playing from multiple libraries. Then the ability to group my nom AirPlay speakers.The biggest plus for me... Not only can I group all my Sonos speakers. I can also play through my sound bar that is connected to my Apple TV 4k. This has given me the ability to play the same music throughout the entire house. Extremely easy to setup. I haven't experienced any dropouts. Strong signal from all access points.I love Sonos for producing quality speakers. Easy to setup and use. For a blind individual like myself, this is appreciated. I love tech, and gadgets.... It's refreshing when a manufacturer produces a product that does what it says it will.I can definitely recommend this product.",67
3,"Great sound, but Alexa integration needs work
  
",18.Mar.19,Yes,"The sound quality is great, far better than any other smart speaker I've tried, but the Alexa integration is awful. It won't respond to voice commands the first two or three tries, and the audible chime doesn't seem to work half the time. Hoping it's a software issue that will improve over time, but given the One has been on the market for awhile, not hopeful.",24
5,"Impressive loud sound
  
",20.Mar.19,Yes,Alexa works seemlessly with speakers. I have a pair that I use for surround sound with a playbar. They can get REALLY LOUD but don_ lose sound quality. Expensive but I know I_ getting the quality.,1
5,"Best speaker ever.
  
",22.Mar.19,Yes,Sounds great easy to load songs on to the app.  Love it.,2
2,"False Advertising Alert!
  
",25.Mar.19,Yes,"I bought a few of these sonos gen 2 units and set them up. Easy breezy to do. Ran into a small hiccup with setting up Alexa but that was user error and I figured it out. It_ just a multi multi multi step process I wasn_ anticipating. The speakers are great. I love that I can take calls and not rely on regular Bluetooth speakers. However! I bought these with the intention to not have to purchase the amazon echo or dot or whatever because of sound quality. I_ finding that the Alexa function is incredibly limited. It WAS advertised that Alexa voice calls were unsupported. BUT it had no mention of other things, such as routines and other automatic processes. Why can_ I have an Alexa Routine work with SONOS? That_ one of Alexa_ features that are wonderful. Aaaaaaand now I have three speakers that are as helpful as coasters, in my opinion, with simple functionality that isn_ possible. This unit is 10 stars if they can fix with a firmware update. Otherwise I will likely send them back. It_ just not worth the cost to have limited Alexa functionality. It_ pitched as _se Alexa for everything but voice calls!  Not true.Update: after three days? All of the speakers are out of connection and don_ work with Alexa or playing audio in general. I think there is a bug they need to fix where the device doesn_ connect to WiFi properly. I_ no tech wizard but I like to think I know mostly everything when it comes to easy-to-use devices and setups. I trouble shooted as best I could with customer service. Still no bueno.",149
4,"Great sound. Needs an update regarding Alexa
  
",2.Apr.19,Yes,Alexa app glitchy and somewhat functions.,2
2,"Was awesome for 10 minutes, reset, repeat
  
",8.Apr.19,Yes,"My wife's brother has two Gen 1 of these so I bought one for my wife's birthday. Followed instructions, got it set up. Worked great. Then 10 to 20 minutes later Alexa would say ""I'm having trouble understanding"" Reset it. Re-set it up, same thing. Over and Over. Called Sonos help number and the wait was 45 minutes. No. Returned for the the Amazon speaker which is half the price. Sonos, get your stuff right before releasing.",68
1,"ALEXA VOICE CONTROL DOES NOT WORK OUTSIDE OF USA!
  
",9.Apr.19,Yes,Do not buy if you plan on controlling directly with Alexa Voice Control outside of the USA.,11
5,"great audio quality
  
",10.Apr.19,Yes,Amazing surround sound. Only able to use it with apple tv though. Don't buy it thinking on connecting with tv or any other device in the house only works with Airplay devices. But besides that is a great speaker.,0
