Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Good buy.
  
",5.Nov.18,No,"Arrived on time and package was in excellent shape. Got it out of boxes and set it up. Sit up as computer monitor, but also like that it can be used as a TV, with wireless connection. Great picture quality, good sound. Was an easy set up and connection.",42
3,"BROKEN REMOTE
  
",23.Nov.18,Yes,"The TV Arrived in good working order but the remote does not work. We changed the batteries but it still doesn't work. We have a 43"" TCL so we are able to operate it and also have access to the phone ap. But it is disappointing to get a broken remote. The TV was already hung on the wall when we discovered that the remote doesn't work So it's too much of a pain to send the whole TV back. If someone sends me a working remote I will update this review.",14
5,"Great Picture!
  
",24.Nov.18,No,"Nice sharp picture, Roku software works great!",0
5,"exactly as we needed
  
",28.Nov.18,Yes,came on time and was exactly as described. its exactly what we needed for the spare room.,0
5,"Easy set up and great picture!
  
",29.Nov.18,Yes,It's been great with a really good picture and super easy to set up!,0
2,"Remote problem
  
",1.Dec.18,Yes,"Very reasonable value, but I can't get the remote to communicate with the tv.  There is a clear piece of plastic on the bottom of the tv in the center.  Is that supposed to be removed?  Customer support is not available on the weekend.",5
5,"Bien
  
",2.Dec.18,Yes,Excelente hasta ahora bien,2
5,"Who needs cable when you can stream movies and shows?
  
",3.Dec.18,Yes,Awesome little TV for our travelor trailer! We can just stream our movies or shows in the go which makes things easy. Don_ pay for cable ever again....,0
5,"So far so GOOD
  
",4.Dec.18,Yes,I purchased this TV for my college age son and so far it working really well. Easy set up and he plans to use it as a monitor with his desktop computer.,1
5,"Wonderful Budget-Friendly TV!
  
",8.Dec.18,Yes,"The television itself should have higher reviews, but faulty reviews and pre-broken TV's (which is more of a shipping fault) shouldn't be considered accurate because once you recieve a working television, then its great! Great sound and picture for $230!",1
5,"Great Picture Quality
  
",10.Dec.18,Yes,"This is a great tv for the cost with a clear picture,easy set up and easy use.",0
5,"Great features
  
",12.Dec.18,Yes,Bought this for a kitchen TV and it is an impressive piece for the price. Setting it up I was prompted to insert a usb stick to enable up to 90 minutes ff or rewind on antenna tv very cool. Roku OS is a perfect compliment to my stand alone Roku I like it.,0
4,"Not bad. Not great
  
",15.Dec.18,Yes,"Great picture. As a seasoned Roku veteran I can say this unit operates about 98% flawlessly. 1080p works great. My only complaint is the Netflix app on this platform is terrible. Even on a 1Gig internet connection with a fast wireless mesh network, the app is slow, pokey, and mildly irritating. The spectrum app is similarly slow and pokey, but does playback without buffering. Every other app works perfectly though. The remote is a bit of a bear, in that it shows somewhat mild latency in control inputs.  If I had to do it again, I would probably just buy the Samsung 32 1080p tv and use the embedded app hub. Another let down was the remote lacks a headphone jack. The other roku platforms offer a headphone jack on the remote.",4
5,"Good Tv
  
",15.Dec.18,Yes,Like it good quality pocture,0
5,"Great buy for the money!
  
",16.Dec.18,No,"I was looking for a smaller TV for a bedroom.  Setup was fairly easy.  None of the 32 inch TVs have a phenomenal picture, but this is probably on par with any of the more expensive brands.  The Roku system gives you TONS of content for free.  I_ truly impressed!",0
5,"Great Value
  
",16.Dec.18,Yes,"My last tv was this same brand and I loved it! This new one is super thin, great picture quality and a wonderful value. I highly recommend if you are looking to upgrade your tv.",2
