Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Best Blind TV Experience Ever!!
  
",29.Jun.18,Yes,"This was a wonderful investment. Best tv experience I_e had being blind. There_ so much in doing for yourself.I did complete setup without assistance. Voice View narrated every step. Even tells you screen off when powering off.Gone are the days of how many presses for input. A heads up for my blind brothers and sisters... the top HDMI port is HDMI 1. This is also the HDMI ARC for your audio receiver, sound bar.The only difficulty for blind is attaching the stand. A left and right which I guarantee you_l never figure out. Neighbor attached stand and checked to make sure no damage, or dead pixels.Thank you Amazon, Best Buy, and Toshiba. Best accessible tv I_e encountered for blind consumers.Initial voice view is activated by pressing Back and Menu for 2 seconds. The left and right button above the ring. Remote is slightly different from Fire TV. There is a voice view tutorial for the remote.Also you can change inputs with voice. Just say input 1, or HDMI 1. Great speakers and value for this price point.PS: connecting to Echo Dot was a breeze. Link in Alexa app. I can change volume and inputs with Dot. Along with power on/off.Update:Another benefit found for blind customers. Software updates on TV_, Apple TV, etc. can be difficult. Without audible cues it can be hard to tell when done. When software reboots it lets you know disconnect from input. When a device restarts, device reconnects to input with voice cue.It took awhile to figure out, but changing input name is possible. Go to inputs under settings tab, highlight the input name you want to change, don't select... Instead press menu twice. An options menu will pop up. Their are like 14 options to name the input.By going to tv.toshiba@toshiba.com you_l find a full users manual. Model LF621U. I recommend for hidden and not obvious features.",378
5,"Great deal
  
",20.Jul.18,Yes,"Such an easy set up, great resolution and audio, definitely a steal for your money",2
5,"Five Stars
  
",2.Aug.18,Yes,Item as described,1
5,"OMG the best tv in my house
  
",6.Aug.18,Yes,"This is the smartest TV I've ever seen.The picture quality is amazing.Easy to set up and easy to use.Streaming is so easy I am cutting back on my cable TV bill because everything streams so clean and the interface is easier than my cable TV interface.Having two complete web browsers to choose from are amazing, haven't found anything I can't do online yet.Also being able to control all of my Alexa devices and having complete Alexa functionality with my TV Remote in my bedroom is great too.",1
1,"Very disappointed with continued sound and audio sync
  
",11.Aug.18,Yes,"Was a great purchase at first. Got it for my wife as she is recovering from surgery. Now we tune into a show, everything works fine, and then it pauses and the audio lags 4 seconds. With my work hours, cannot easily call their standard tech support hours. Very disappointedUpdate: Spent several hours trying to get customer service help and finally had to do a hard reset and reinstall all software including all the passwords (remembering all those UGH). The sync issue keeps popping up over and over again. I used to manage a tech department so it's not like I dont understand minor issues. Either it's a bad product, bad updates, and/or bad tech service that cannot help to resolve the continued problem.Update 2: The TV continues to loose sync with the sound. It's hit or miss on the shows. We have even gone to another TV in the house just to check and it has no problems. We just dont have time to keep wasting to help them troubleshoot.",5
5,"It is a great TV. I'm just trying to learn all that ...
  
",13.Aug.18,Yes,It is a great TV. I'm just trying to learn all that it does.It got me to cut my cable bill! What a savings.it does so many things it will take a while to get to use it correctly.  It was a great price.way to go Amazon!,1
2,"Good picture, bad sound
  
",13.Aug.18,Yes,"Picture is good, sound is dreadful, very tinny.",2
4,"Good cheap TV.
  
",15.Aug.18,Yes,Easy to set up. Good price.,1
4,"Great picture
  
",22.Aug.18,Yes,"Picture is unreal. Very nice and clear. Great sound. Don't like having to select HDMI each time to get to the cable box, but I will deal with it.",0
3,"DOES ANYONE HAVE ANSWER!
  
",23.Aug.18,Yes,"Don't know what is the problem. I turn off TV and blue light does not light up in corner of TV when it is off. It is like the TV is still getting power to it although TV is off. In the middle of the night I get up and turn TV on then off, then blue light turns on. it happens most of the time about 95 % of the time it happens and I don't know why!",1
5,"Excellent TV!
  
",23.Aug.18,Yes,"Easy setup, easy to use, great price on Prime Day.  My only issue is you cannot set a default input for when you turn on the TV, but it is not that big an issue.",1
5,"Great TV
  
",23.Aug.18,Yes,So far happy with my purchase! Excellent picture,1
